yuru	euro
black	unda
man	miru
Aboriginal	yura
baby	vapa
water	awi
boomerang	wadna
wallaby	andu
back	ngundi
kangaroo	mandya
kangaroo	urdlu
joey	urdlu vapa
half-grown	urdlu warrpa
snake	mudlu
mythical	Arkurra
snake	wabma
Aboriginal	udnyu
white person	udnyu miru
wombat	wartu
head	vapardla
think	udikanda
magpie	urrakurli
goanna	vardna
common	yapu
mosquito	undhi
butterfly	vurruka
big	marrawirri
large	apiwirlanha
