of	de
and	i
not	non
de	do
a	un
with	con
one	se
to	pa
water	agua
we	nos
but	pero
about	sobre
by	por
that	que
since	desde
most	mais
among	entre
up to	hasta
week	semana
this	esti
Fala	fala
say	idel
o	o que
eye	ollu
another	otru
Spanish	castellanu
also	tamén
how	cumu
place	lugal
today	hoxii
cheese	quexio
