stand	bare
swim	wija
car	goorroorij
crocodile	joowinyin
grandmother	gagayi
place	dawang
man	jawaleng
dog	joolang
cat	ngirrngiling
heart	dooleng
fly	ngoorreny
fish	goondarring
grass	ramang
meat food	mayeng
water	gerloong
rock	gerany
cup	gardag
tick	bilyiny
paper	merndang
barramundi	djaliwang
yes	ngiyi
