fish	i
know	ate
snake	un
when	eu
good	loi
swim	aj
rain	mani
one	cas
and	ŋe
smack	xe
water	tim
hand	ime
blood	madra
rat	aji
house	uma
what	nemen
dog	kuli
fall	kei
green	hatr
back	ju
eat	xen
moon	teu
needle	nilan
drink	ij
wind	eñ
earth	dro
right	maca
horse	hoos
breast	thi
liver	idre
mouth	që
dream	puj
day	drai
plant	tran
lightning	samek
flour	falawa
woman	föe
five	tripi
ten	luepi
walk	aehnatro
road	gojeñ
come	traqa
dust	xaxau
neck	ñinawa
tooth	ñö
ear	ñaŋeñyë
eye	alamek
see	goëen
needle	jöm
bird	waco
fly	sesë
stone	etë
sand	ŋöni
sea	hnagejë
sky	hneŋödrai
star	wëtesij
cloud	iaw
thunder	hedeŋ
cold	nanazij
dry	weliwel
fire	eë
black	wetewet
white	wië
yellow	hmed
painful	wezipo
new	hñipixe
bad	ŋazo
night	jid
near	easheñ
not	ohea
two	luete
four	ekete
six	cangömen
seven	luengömen
eight	köningömen
nine	ekengömen
