ice	сыр
we	ми
axe	тобәкәә
blood	кам
egg	мәну
bone	латәә
nose	ӈүӈкә
eye	сеймы
fish	колы
hair	ӈабтә
I	мәнә
you	тәнә
he	сыты
we	мыӈ
you	тыӈ
you	тіи
water	быˮ
polynya	баагу
begin	бакурирся
breathing	бачебса
remain awake	баадя
throw	байбудя
opening	бяри
opened	бяриси
speak	буодя
conversation	буобса
sketch	бинтадя
line	биндар
saddle	билякә
Dolgan	ася
converse	баабталудя
speak with	баабтугуйся
make	баабтуса
body	баагутә
complaint	бадиркүбся
Acipenser	бакуну
become	бакуруодя
dog	баӈ
permanent hunting ground	басудему
breathe	бачедя
stomp	дебиарсы
eyebrow	дебси
goose	дебту
dew	дебтуа
bear	дебтуаса
say	дебтудя
heel	дебы
slacken	делубтуса
payment	денси
glint	денту
strong	денунтуо
evaluate	деньдибтысы
one	ӈуˮоиˮ
one	ӈуоиˮ
two	ситі
three	нагүр
four	четә
five	сәӈхедир
six	мәтүˮ
seven	сяйбә
eight	ситіз̌әтә
nine	ӈамиайчумә
ten	бииˮ
tongue	сиәде
arctic fox	сатәрә
