fly	frei
curse	fluku
dietary	trefu
lay	mesre
haul	srepi
timber	temre
work	wroko
steal	fufuru
used to	gwenti
warn	warskow
slaughter	srakti
laugh	lafu
experience	ondrofeni
rusty	frustu
baptise	dopu
lose one's way	ferdwal
annoy	muilek
kick	skopu
rub	griti
ride	rèi
outside	boiti
bean	bonki
witness	kotoigi
green sea turtle	krape
compartment	faki
dive	dukrun
try	proberi
dark	dungru
evil	takru
write	skrifi
fall	fadon
jump	dyompo
underhanded	bakabaka
tire	banti
sweet	fiadu
tattle	konkru
stutter	gagu
Holy Spirit	Santa Yeye
pregnant	bereman
black	bonkoro
high	heihei
yesterday	esde
beer	dyogo
magical	kromanti
stocking	kowsu
sugar	sukru
food	nyanyan
news	nyunsu
orange	apresina
grave	grebi
right away	dalèk
guilder	golu
bundle	bosu
dragonfly	grasbarki
white	bakra
banana	bakba
Dutch	Bakratongo
German	Doisritongo
French	Franstongo
unstable	degedege
vaginal	faya watra
Netherlands	Bakrakondre
canoe	kruyara
Death	Fedi
criminal	abanyi
OK	afèn
far	farawe
near	krosbei
one by one	wan fru wan
how are you	fa a waka
how are you	fa a e go
how are you	fa yu tan
how are you	fa fu yu
how are you	fa yu de
slumber	dyonko
