remember	จับ
bowl	มาโกะ
charcoal	ฮารัก
asparagus bean	กาจักปาญัก
bean	กาจัก
long	ปาญัก
fruit	บูวะฮ
color	จัยจ
navel	ปูซัยจ
bone	ตูลัก
waist	ปีงัก
throat	เบอเกฺาะ
elbow	ซีกู
shoulder	บาฮู
arm	เลองัน
tongue	ลีดะฮ
benzoin	เกอเมียน
anything	นามา
anyone	ซาปา
water	เยฺรา
palm	กูเมอ
plank	ปาปัด
tie	อีกัยจ
knee	ลูโตยจ
string	ตาลี
dust	ฮาบู
convey	เปอโดะ
stretch out	ตูโฮะ
ronggeng	รูเงก
village	ตูโปะ
grandfather	แจ
just now	ซีงี
salty	มาเซด
cloth	กาเยด
twelve	ดูวาเบอลัยฮ
twenty	ดูวาปูโละฮ
forty	ปัยจปูโละฮ
thirty	ตีกฺาปูโละฮ
thirteen	ตีกฺาเบอลัยฮ
fourteen	ปัยจเบอลัยฮ
fifteen	ลีมาเบอลัยฮ
sixteen	นัมเบอลัยฮ
eighteen	ลาปัดเบอลัยฮ
nineteen	เซอมีลัดเบอลัยฮ
seventeen	ตูโยฺะฮเบอลัยฮ
fifty	ลีมาปูโละฮ
sixty	นัมปูโละฮ
seventy	ตูโยฺะฮปูโละฮ
eighty	ลาปัดปูโละฮ
ninety	เซอมีลัดปูโละฮ
hundred	ราตุยฮ
eleven	เซอเบอลัยฮ
artificial	การักเทียม
doctor	บูมอ
boat	ลูนัยฮ
divide	พากฺิ
pineapple	นังนัยฮ
bicycle	แระกฺีแระ
cloud	กอมมวง
woman	นีบีนี
corrugated iron	ตีมะฮ
Urak Lawoi'	อูรักลาโวยจ
beautiful	เบอกาจะ
shallot	บาวักมีระฮ
garlic	บาวักปูเตะฮ
grasshopper	บาลัก
earthen	กฺูรี
sugar	กฺูลา
mango	มาจัก
buy	เบอลี
fishhook	มาตากาเยน
fishing line	กาเยน
mud	ลูเปอ
hungry	ลาเปอ
turmeric	กูเญะ
turmeric	กูแญะ
make	บูริ
story	ลากฺู
cut down	บาโฮะ
parcel	บูกุยฮ
candle	จูโจะฮ
betel pepper	ซีเระฮ
cut off	ปูตุยฮ
rebana	บานา
drum	ปาลู
throw out	ซูวัยจ
licuala	ปาลัยฮ
upper	อาตัยฮ
because	ซาเบะ
bottle	บูลี
together	ปาคัยจ
group	ลูเมาะฮ
Urak Lawoi'	ลูเมาะฮลาโวยจ
old	ตูฮา
skin	กูเละ
amusing	รามัย
puffed rice	เกอมัก
wax	ลีเลด
west	บารัยจ
span	เดอปา
ask for	มีตา
fishnet	ยาลา
loudspeaker	ลัมโพง
type	เกฺอนัก
firstly	ลามูลา
mark	ตานา
olden	นูตู
droplet	พุพุ
coconut	งารอยจ
into	เบาะฮ
needle	โจะบัด
already	ดะฮ
wire	ดาวัย
concern	ดูลี
money	ดูเวะ
done	ฮาบิฮ
not	ฮอย
look	ลีฮัยจ
litre	ลิด
powdered	ลูมัยจ
sour	มาซับ
uncooked	มาตะฮ
young	มูดา
tasty	ญามัน
type	ญาโตะ
married	นีกะฮ
indication	เปอนานา
door	ปีตู
calm	เซองะ
vegetable	ตาโระ
east	ตีเมอ
north	ตารา
close	ตูดก
close	ตูโดก
follow	ตูโรยจ
time	วะตู
smoke	อาซะ
sift	อีริ
with	ซามา
see	กฺารี
content	อีซี
angle	ซากฺี
be	ราซา
traditional	ปาจัก
curved	ปีเกาะ
look for	มียา
in unison	มาเรอมา
beach	ปาตัย
flag	เกฺอนีรา
have	ฮวยจ
protection	พาดัก
out	เจอบุ
hut	ซาเราะ
iron	อาเยน
iron	เบอซี
doctor	บูมอล
dance	ตารี
read	บาจา
love	ซายัก
diamond	อีตัด
thunder	กฺูตล
pestle	ฮาลู
cottonwool	กาปัยฮ
bow	ปานะฮ
spread out	อาเปอ
spread out	อาปัล
