day	zit
land	mat
big	tay
pot	xe
coyote	ksar
water	xa
owl	yuu
hello	auka
yellow	kwas
sun	ñaa
dog	xat
four	jupa
cat	ñmi
puma	ñmitay
rabbit	xlo
deer	chichawir
moon	jla
morning	ñaam
night	tiñab
two	jwak
black	uñiy
five	sraap
star	kchaw
piñon	k'jo
woman	mimusi
comet	zkuul
sea	xatay
hunter	chkñaay
winter	jchur
Sierra de Juárez	Mat Pul Pul
blue	jurszub
red	jwat
gray	mujul
white	nñum'rszap
green	jubuw
sky	myay
gray	mjuul
man	pa'hami
