1	၁
dictionary	အဘိဓာန်
Burma	ဗမာ
eye	မတ်
0	၀
2	၂
3	၃
4	၄
5	၅
6	၆
7	၇
8	၈
9	၉
younger brother	မူ
fish	က
dependent	ခ
great-grandfather	ဇ
bushel	န
frighten	ဘ
tar	ယ
life	ဂယိုၚ်
life	လမျီူ
age	အယုက်
sky	အမှဲ
sky	အာကာသ်
ring dove	ပါ
cemetery	သုသာန်
language	ဘာသာ
Buddha	ဗုဒ္ဓ
Mon	မန်
grandfather	လ
animal	တိရစ္ဆာန်
bring	နင်
monastery	ဘာ
calamity	ဘဲ
swell	ပု
curse	လက်
cut	ကုတ်
hold	ရပ်
mattress	ဖုန်
bee	သာဲ
think	ချပ်
complete	ထိ
tree	ဆု
easy	လဲ
season	ဥတု
zero	သုည
enter	လုပ်
turmeric	မိတ်
map	ဗီုတိ
wait	မင်
blood	ဆီ
building	တိုက်
water	ဍာ်
tea	လက်ဖက်
hello	မ္ၚဵုရအဴ
ten	စှ်
fourteen	စှ်ပန်
thirteen	စှ်ပိ
eleven	စှ်မွဲ
fifteen	စှ်သုန်
twelve	စှ်ၜါ
six	တရဴ
seven	ထပှ်
nine	ဒစိတ်
eight	ဒတံ
three	ပိ
five	မသုန်
zero	သုည္ည
two	ၜါ
twenty	ၜါစှ်
be	နွံ
very	ဖာ
Indra	ဣန်
emerald	မြ
Paung	ပံင်
turn	အဝါ
consonant	ၛ
tether	ပဝါ
garden	ဂူ
friend	ရဲ
luck	ကံ
pride	မာန်
full	ဖဲ
wisdom	ပညာ
explanation	အဓိပ္ပါယ်
happiness	သုခ
sago	သာဂူ
Hanthawaddy	ဟံသာဝတဳ
comparison	ဥပမာ
first	ပထမ
era	ခေတ်
wing	သၞေၚ်
yawn	ဒအာပ်
whisper	က္သေဲ
pigeon	ဖရာပ်
otter	ဖေံ
short	ဂၠေံ
forehead	ဒၞေၚ်
thunder	ဓဂဵု
yam	ကွာဲ
dense	ကၠီု
boat	ဂၠုၚ်
axe	မုဲ
mouth	ပါၚ်
belch	ဒအိုအ်
rafter	ဖအိုအ်
dream	လ္ပံ
hump	သ္ဗံ
sugar cane	ၜဴ
goat	ဗ္ၜေံ
insect	ထၟ
goose	အဟာန်
danger	အန္တရာယ်
feces	အသုဘ
Buddhism	ဗုဒ္ဓဘာသာ
desire	ဆန္ဒ
mound	ကုန်
new	တၟိ
peacock	မြာ်
synonym	ပရိယာယ်
government	ဝန်
hand	တဲ
wide	ဒမှော်
Karen	ကရေင်
strength	သတ္တိ
second	ဒုတိယ
mother	မိ
seal	တဆိပ်
district	ခရိုင်
thank	သာဓု
Thingyan	သၚ်ကြာန်
teaching	သာသနာ
teaching	ဗုဒ္ဓသာသနာ
title	ဗညာ
waterfall	ဍာ်စၚ်
honey	ဍာ်သာဲ
cholera	ယဲဂၞဴ
epidemic	ကာလယဲ
ill	ယဲ
flatulence	ယဲကျာ
hernia	ယဲကၠန်
air	ကျာ
python	ကၠန်
ice	ဍာ်ကၠောံ
ice	ဍာ်ခြက်
breast	တှ်
milk	ဍာ်တှ်
ship	က္ၜၚ်
go in	လောပ်
breathe	ယီု
receive	ဒုၚ်
rain	ဗြဲ
knot	မတ်ဆု
eye	ယဲမတ်
ophthalmia	ယဲမတ်ကနအ်
cat	ဗဂဲ
