cloudy	gp
Amun-Ra	jmn-rꜥ
say	ḏd
tie	spj
nome	spꜣt
Egyptian	r n kmt
acquire	bjn
big	wr
peace	ḥtp
wrong	jwjt
wind	ṯꜣw
herald	wḥm
nj sw	nsw
small	nḏs
stairway	rwd
festival	ḥꜣb
punch	sqr
set in order	grg
fight	ꜥḥꜣ
rush	ꜣs
bird	ꜣpd
throw	ꜥmꜥꜣ
mighty	wsr
Shu	šw
lock	jꜣr
priest	ḥm-nṯr
recitation	ḏd-mdw
placenta	ḫ
measure	ḫꜣj
plumb line	ḫꜣy
altar	ḫꜣwt
throw down	ḫꜣꜥ
kenning	ḫt n ꜥnḫ
honey bee	bjt
cup	jkn
load	hnn
Nile	ḥꜥpj
hairdresser	nšt
beer	ḥnqt
wine	jrp
water	mw
moment	ꜣt
viscera	ꜣjs
blanch	ꜣyt
strength	ꜥꜣꜥ
vessel	ꜣꜥꜥt
storage case	ꜣꜥw
harm	ꜣꜥbt
follow	šms
excellent	jqr
child	ẖrd
papyrus stem	wꜣḏ
epithet	nb ḫꜥw
pure	wꜥb
tomb	jz
complementizer	js
half	gs
lack	ws
sharp	mds
stand up	ꜥḥꜥ
tomb	mꜥḥꜥt
cauldron	wḥꜣt
god	nṯr
cargo	ꜣṯp
chest	ꜣtp
Canaan	kꜣnꜥnꜥ
desert	dšrt
Israel	ysrjꜣr
Ptah	ptwꜣrwmys
Osiris	wsjr
Libya	ṯḥnw
Ash	ꜣš
Memphis	mn-nfr
Ashkelon	jsqꜣrnj
knot	ṯzt
Aker	ꜣkr
Ammit	ꜥm-mwt
Amenhotep	jmn-ḥtp
Am-heh	ꜥm-ḥḥ
Anat	ꜥntjt
Anhur	jn-ḥrt
Anti	ꜥntj
Nemti	nmtj
Anuket	ꜥnqt
calf	bḥz
reach	pḥ
head	ḏꜣḏꜣ
put	wdj
arm	ꜥ
bandage	wt
robber	ꜥwꜣy
likeness	twt
Khonsu	ḫnsw
blood	znf
rebus principle	𓈖
rebus principle	𓊃
rebus principle	𓆈
Nile crocodile	𓆊
crocodile	𓆋
crocodile	𓆌
crocodile	𓆎
frog	𓆏
tadpole	𓆐
horned viper	𓆑
cobra	𓆓
cobra	𓆕
erect cobra	𓆗
snake	𓆙
trunk	𓆱
papyrus stem	𓇅
sky	𓇯
sky	𓇰
Egyptian hieroglyphic writing	mdw nṯr
blind	kꜣmn
abomination	bwt
spend	jrj ꜣt
instantly	m ꜣt
act	m ꜣt.f
instant	m km n ꜣt
right now	m tꜣ ꜣt
always	m ꜣt r ꜣt
moment	m ꜣt nt
break	ḫsf ꜣt
club	jꜣꜣt
epithet	jꜣjw
kilt	jꜣꜥ
knife	jry
Asian woman	ꜥꜣmt
snake	wfj
ankh	ꜣꜥz
wide	ꜣwj
mound	ꜣꜣ
Bastet	bꜣstt
determinative	𓁐
rebus principle	𓇋
word	mdt
goddess	nṯrt
gods	nṯrw
Lower Egypt	mnj
truth	mꜣꜥt
aforementioned	nꜣ
back	sꜣ
senet	znt
open	sš
swallow	ꜥm
Egyptian vulture	𓄿
rebus principle	𓊪
eagle owl	𓅓
rebus principle	𓉔
rebus principle	𓎛
rebus principle	𓈙
rebus principle	𓈎
determinative	𓎼
rebus principle	𓏏
wadi	𓈋
logogram	𓈉
happy	ꜣwj-jb
uniliteral phonogram	𓈀
rebus principle	𓈍
rebus principle	𓈐
determinative	𓈇
rebus principle	𓈄
sky	𓇱
determinative	𓇳
uraeus	𓇴
star	𓇼
rebus principle	𓇹
rebus principle	𓈘
sudarium	𓆍
Duat	dwꜣt
Duat	dꜣt
rebus principle	𓆄
phonogram	𓆅
Gyps fulvus	𓆂
spoonbill	𓆁
heron	𓆀
offering formula	𓅿
scarab	𓆣
incinerate	wps
New Year’s Day	wp-rnpt
sidelock	wprt
beginning	wp-hrw
Phaophi	pꜣ-n-jpt
Choiak	kꜣ-ḥr-kꜣ
Tybi	tꜣ-ꜥꜣbt
Mecheir	pꜣ-n-pꜣ-mḫrw
Phamenoth	pꜣ-n-jmn-ḥtp
Pharmouthi	pꜣ-n-rnn-wtt
Pachon	pꜣ-n-ḫnsw
Pauni	pꜣ-n-jnt
Epeiph	jpj-jpj
Mesore	mswt-rꜥ
rebus principle	𓆤
disease	ḫꜣt
Serqet	𓆫
oxyrhynchus	𓆞
pair	ꜥnḫwj
you	ṯm
you two	ṯnj
old	tnj
two	snj
sky	msqt-sḥdw
star	sḥd
akh	ꜣḫ
sleep	ꜥꜥw
bread	ꜥꜣdt
king	ḥm
vizier	ṯꜣtt
Heqet	ḥqt
opposing	ḫftj
female	ḫftt
female	ḥfꜣt
Naucratis	nwtkꜣrṯ
form	ḫprw
ox	jḥ
goose	rꜣ
scribe	zẖꜣw
month	ꜣbd
whichever	r-pw
king	nswt
prince	zꜣ-nswt
princess	zꜣt-nswt
epithet	mry-jmn
stone	jnr
you	ṯmt
she	stt
you	ntsnj
those	jpf
those	jptf
go	zj
high priest	ḥm-nṯr tpj
field	ꜣḥt
field	sḫt
king	bjtj
dual king	nswt-bjtj
cartouche	zꜣ-rꜥ
sire	jty
pharaonic epithet	nb-tꜣwj
shadow	šwt
between them	jmjtw-nj
eye	jrt
along with them	ḥnꜥw
across from	ḫft
accordingly	ḫftw
in front of	ḫnt
previously	ḫntw
under	ẖr
limit	ḏr
before	ẖr ḥꜣt
high official	ḥꜣtj-ꜥ
in exchange	r ḏbꜣ
as well as	ḥrw r
equal	mjtw
similar	mjtj
accompanying	ḥnꜥj
present	ḫrj
on top of	tpj
limb	ꜥt
room	jrj-ꜥt
lector priest	ẖrj-ḥꜣb
epithet	ḫntj-jmntjw
epithet	tpj-ḏw.f
necropolis	ẖrj-nṯr
place	bw
inventory	jmt-pr
overseer	jmj-r
steward	jmj-r pr
general	jmj-r mšꜥ
humble reference	bꜣk jm
of	jmy
greatly	ꜥꜣw
self	ḏs
among	mm jrj
accordingly	ḫft jrj
second	snnw
cardinal number	-nw
third	ḫmtnw
fourth	jfdnw
fifth	djnw
sixth	sjsnw
seventh	sfḫnw
eighth	ḫmnnw
ninth	psḏnw
one each	wꜥ wꜥ
one of	wꜥ m
one	wꜥ n
time	zp
last day	ꜥrqy
black mineral pigment	msdmt
ox	𓃾
love	mrj
ship	bꜣjr
up to	r-šꜣꜥ
flower	ḥrrt
fighter	ꜥḥꜣwtj
two time	zpwj snwj
height	pr-m-ws
city	swnw
metal	zft
linen	sbn
kilt	šnḏwt
O	hꜣ
Jerusalem	ꜣwšꜣmm
hieratic	𓂁
hieratic	𓂂
hieratic	𓂃
hieratic	𓂄
hieratic	𓂅
hieratic	𓂆
epagomenal	mswt-wsjr
epagomenal	mswt-ḥr
epagomenal	mswt-stẖ
epagomenal	mswt-ꜣst
epagomenal	mswt-nbt-ḥwt
Eye of Horus	wḏꜣt
get drunk	tḫj
clothing	mnḫt
Hathyr	ẖnt ḥwt-ḥr
Choiak	nḥb-kꜣw
Tybi	šf-bdt
Mecheir	rkḥ-ꜥꜣ
Phamenoth	rkḥ-nḏs
Renenutet	rnn-wtt
Khentakhtai-perti	ḫnt-ẖty-prtj
Epeiph	jpt ḥmt
belowness	ẖrw
possession	ẖrt
social stratum	pꜥt
White Crown	wrrt
instruction	sbꜣyt
dwarf	nmw
jn mj	nmj
Tutankhamon	twt-ꜥnḫ-jmn
Tutankhamon	twt-ꜥnḫ-jmn-ḥqꜣ-jwnw-šmꜥw
Tutankhaten	twt-ꜥnḫ-jtn
give birth	msj
length	ꜣwt
pain	ꜣhw
noblewoman	špst
Edom	jdwmꜥ
Moab	mwjbw
Libya	rbw
Ashkelon	jsqꜣrwnj
Hatti	ḫtꜣ
Djahy	ḏꜣhꜣ
I	tw.j
you	tw.k
you	tw.t
we	tw.n
you	tw.tn
possession	m-ꜥ
dominion	wꜣs
effective	mnḫ
northern	mḥtj
locality	dmj
exaggeration	jwms
falsehood	jzft
red	ṯms
shoulder	rmn
and not	nj js
poor man	ḥwrw
balance	mjḫꜣt
balance scale	mḫꜣt
phrase	ḫn
road	wꜣt
difficult	qsnt
myrrh	ꜥntjw
time	rk
epithet	jt-nṯrw
inert	nnj
darkness	kkw
god Heh	ḥḥw
drink	ṯnm
astray	tnm
Ogdoad	ḫmnyw
god Nefertum	nfr-tm
god Tatenen	tꜣ-ṯnn
relative adjective	ntj
statue	ẖntj
palace	ꜥḥ
mistress	ḥnwt
human	rmṯ
whoever	ntj nb
haves	ntj n.f
interior	ẖnw
negative relative adjective	jwtj
nothing	jwtj-n.f
papyrus scroll	mḏꜣt
sack	qrft
gold	nbw
thorn	srt
flesh	ḥꜥw
learn	rḫ
terror	nrw
seeing that	m-ꜥ ntt
because	n ntt
to wit	r ntt
since	ḏr ntt
because	ḥr ntt
considering that	ḫft ntt
orphan	nmḥ
follower	šmsw
hidden	štꜣ
equip	ꜥpr
haunch	jwꜥ
complete	tm
Mediterranean Sea	wꜣḏ-wr
Megiddo	ywd-hmꜥrwk
