cloudy	gp
powerful	sḫm
arrogance	bẖbẖ
boisterous	qꜣj ḫrw
heat	šmmt
pavilion	šzpt
when	zy nw
how	mj mj
why	ḥr mj
Medjay	mḏꜣy
how	mj jḫ
why	r mj
well	ẖnmt
place	jbhyt
young	ḥwn
detain	sjhm
offering	ꜥbꜣ
remain	zpj
at dawn	ḥḏ tꜣ
noon	mtrt
vulture	nrt
wing	ḏnḥ
annual heliacal rising	prt spdt
few	ꜥnḏ
gather	nwj
nestling	zšj
Coptos	gbtjw
wise	sꜣꜣ
royal children	msw-nswt
Amenemhat	jmn-m-ḥꜣt
compendium	kmyt
combine	ꜣbḫ
office	jꜣwt
uraeus	jꜥrt
laugh	zbṯ
feed	snm
new	mꜣwj
witness	mtr
fluid	rḏw
staff	tjsw
wild	ḥzꜣ
ball	pꜣḏ
ferry	ḏꜣt
narrow	ḥns
hack	ḫbꜣ
strength	pḥtj
petitioner	sprw
pleasant	snḏm
elite unit	qnyt
council	qnbt
salt	ḥmꜣt
row	ẖnyt
herder	mnjw
singer	šmꜥyt
go around	pẖr
bring	ḥn
observant	mꜥkꜣ
beard	ḫbzwt
lamentable	nḫ
need	ḏꜣr
fellow human	wnḏwt
taste	dp
heir	jwꜥw
there	ꜥf
thick	wmt
physically heavy	dns
childhood	ẖrdw
treasury	pr-ḥḏ
remembrance	sḫꜣw
sacred barque	wjꜣ
female	bꜣkt
epithet	nbt-tꜣ
joy	ršwt
people	rmṯt
foreigner	ḫꜣstjw
favorite	jmj jb
darkness	wḫt
chariot	wrryt
saying	m ḏd
new thing	mꜣwt
safely	m ḥtp
until	r mn m
recount	sḏd
pestilence	jꜣdw
attack headlong	sꜣsꜣ
watchman	wršy
tribe	wḥyt
city	qdnw
niche	wmwt
prayer	nḥ
work	bꜣkw
son	mdw jꜣw
Nubian	nḥsj
feast	hrw-ḥꜣb
three fourths	ḫmt-rw
food	wnmw
corpse	ẖꜣt
soldier	wꜥw
rate	ꜥꜥft
lapis lazuli	ḫsbḏ
eldest	smsw
butler	wdpw
tear	rmyt
great	ꜥꜣt
local ruler	ḥqꜣ-ḥwt
respect	šfj
forgetful person	wzfw
deaf	zẖj
barrier	sbḫt
limit	ḏrw
Libyan	ṯmḥ
cool breeze	qbw
let breathe	snfj
plant	jꜣꜣ
joy	rš
butcher	rḫs
food	mẖr
carry	fꜣj
stammer	njtjt
useful	sꜣḫ
prepare	spdḏ
loosen	sfḫḫ
functional	smnḫ
remove	srwj
lead	sšmj
sleep	qdd
east	jꜣbtt
unfavorable occurrence	jyt
nomadic desert Nubian	jwntj
collect oneself	jp ḏt
west	jmntt
mythological place	jmḥt
embrace	jnq
why	ḥr zj jšst
shield	jkm
suffocation	jtmw
delighted	ꜣbꜣb
ashes	jtnw
senseless	jdj
girl	jdyt
way	nt-ꜥ
big	ꜥꜣj
thrash	ꜥꜣg
wail	ꜥꜥj
collect	ꜥbj
pass through	ꜥpj
message	wpwt
purpose	n mrwt
palanquin	qnjw
on top of	ḥr tp
midst	ḥr jb
in front of	ḫft ḥr
before	m ḥr
amidst	m qꜣb
forward	jmj-ḥꜣt
succeeding	jmj-ḫt
presence	jmj-bꜣḥ
hereditary nobleman	jrj-pꜥt
cheer	ḥkn
porter	ẖrj-qnj
lead	zbj
herself	ḏs.s
deaf	jmr
take	ḏbꜣ
order	wḏt
call	rḏj m ḥr
riverboat	qꜣqꜣw
cry	rmj
repetition	wḥmyt
box	pds
wave	nwyt
unite	zmꜣ tꜣ
singer	šmꜥw
funeral procession	šms wḏꜣ
room	sqbbwj
fine oil	tpt
bed	ḥnkyt
nomen	ꜥnḫ.tj ḏt
please	ḥz.tj
hesitate	sjnj
slander	sḏwj
starve	sḥqr
make	srmj
denounce	šnṯ
weak	bdš
doorpost	bnš
dead	ntjw jm
estate	ḏꜣtt
eyebrow	jnḥ
meteoric iron	bjꜣ n pt
Egypt	tꜣ-mrj
god Sopdu	spdw
river Euphrates	pẖr-wr
pay attention	rḏj mꜣꜥ r
northerner	mḥtjw
hew	mḏḥ
melon	sšpt
distant land	tꜣ-nṯr
incense	snṯr
in front of	m ḫnt
short	ḥwꜥ
narrow	gꜣw
thin	pꜣqj
sycamore	nht
edible fruit	dqr
Cambyses	kmbjṯt
Darius	jntjrwywꜣšꜣ
Heliopolis	jšdt
leaf	gꜣbt
root	wꜣb
root	mnyt
tree bark	qqtj
Tiberius	tybꜣrys
boil	ꜣfr
lament	ꜣj
mix	ꜣmj
Jericho	jwrꜣḥy
Baal	bꜥr
Acre	ꜥkꜣ
Vespasian	wspjsyns
India	hndwꜣy
land	sṯt
Damascus	tjmsqw
Jordan	yrdwnꜣ
goddess Astarte	ꜥsṯjrṯt
islander	ḥꜣw-nbwt
male	ṯꜣy
castor oil plant	dgm
twilight	jḫḫw
neglectful	ꜥm jb
shout	wꜣg
list	jmj-rn.f
detested	bꜥḥ
rival	msdw
riverbank	jdb
Egypt	jdbwj
precise	mtj
artisan	ḥmww
cheerful	ḥḏ ḥr
god Khnum	ẖnmw
fire	sḏt
burnt offering	zj n sḏt
strengthen	srwḏ
fire drill	ḏꜣ
destroy	sḥtm
install	sḥqꜣ
interfere	ḏꜣj tꜣ
commoner	šwꜣw
travel	šꜣs
butler	wbꜣyt
treatment	šsꜣw
Macedon	mjgꜣdn
maternal	mwt-mwt
beginning	ḥꜣt-ꜥ
care	ẖr st ḥr
makeup	sdm
migraine headache	gs-tp
liquid	ꜣbḫt
eastern	jꜣbj
man on the rise	jw.f ꜥꜣ.f
easy pickings	j.zj ḥꜣq
wrongdoing	jwyt
moisten	jwḥ
nonexistent	jwtt
hey	yḥ
town	ḏrtj
smooth	nꜥꜥ
Babylonia	sꜣngꜣr
area	ṯwfj
sheet	qꜥḥ
small wooden box	ẖrt-ꜥ
ostracon	nꜣḏꜣrw
Kadesh	qdšw
this	tꜣj
these	nꜣj
white-fronted goose	𓅬
hot	šmm
snow	sꜣrꜣqw
he of	p-n
she of	t-nt
they of	nꜣyw
halfa grass	ꜥnb
rope	nwḥ
guts	mẖtw
neck	ḫḫ
tail	ḫbzt
tooth	nḥḏt
vineyard	kꜣm
stretch out	dwn
turn	ḏnb
fine red linen	jdmj
scribal palette	gstj
Tanis	ḏꜥnt
Sebennytos	ṯb-nṯr
god Apis	ḥp
bright	wbḫ
Asyut	zꜣwtj
overseer	ḥrj-pḏt
leucoma	sḥḏw
dowry	grgt
willow	ṯrt
sheet	ḏmꜥ
stolid	ḏrj
bend together	qrf
Hurrian	ḫꜣrw
physician	zjnw
approach	ẖn
some	nkt
vintner	kꜣmw
armpit	ḥṯṯt
Jaffa	ypw
wing	dmꜣt
smoke	ḥtj
fog	sjm
sand	šꜥy
dust	ḫmw
play	ḥꜥb
light	rkḥ
dig out	šꜣd
liver	mjzt
bite	pzḥ
beget	wtṯ
exhale	nfj
vomit	qꜣꜥ
scratch	ꜣẖꜥ
burn	ḏꜣf
Aegean Sea	ywnj-ꜥꜣ
Ionia	ywnj
Berenice	bjrwnygꜣt
Shoshenq	šꜣšꜣnq
Imhotep	jj-m-ḥtp
Hatshepsut	ḥꜣt-špswt
foreign ruler	ḥqꜣ-ḫꜣst
Sea Peoples	pwrꜣsꜣtj
Bubastis	pr-bꜣstt
burn	sfsf
-W1-	pꜣ-dj-bꜣstt
White Crown	nfr-ḥḏt
cease	jrj ꜣbw
at will	n ꜣbb
at will	r ꜣbb
in order to	n ꜣbw
lithe spotted big cat	ꜣbyt
leopard	ꜣby šmꜥ
cheetah	ꜣby mḥw
cloth	ꜣbw-nṯr
Lower Egypt	mḥw
separate	ꜣbb
month	ꜣpꜣrwywsꜣ
spine	psḏ
spit	bšj
spit	psg
breathe	ssn
breathe	tpr
kill	ẖdb
hit	zḫj
inscribe	nqꜥ
swim	nbj
wring	jꜥf
land	ḫntj-š
flow	ꜥnq
swell up	šfw
swampy lake	ḥnt
burn up	mꜣẖ
burn	ssf
rigid	nẖs
damp	bꜣj
cloud	sṯzw
left	smḥj
yellow pigment	qnjt
grip	ꜣmmt
griping	ꜣmmw
noncircumpolar star	j.ḫm-wrḏ
Memphis	jnb-ḥḏ
prostrate	sn-tꜣ
dance	jbꜣ
chamberlain	jmj-ḫnt
thirst	jbt
Imseti	jmstj
evildoer	jzftj
food	wnmt
separate	wḥꜣ
headrest	wrs
hoof	wḥmt
pigeon	mnwt
need	dbḥ
hole	qrrt
fig	dꜣb
ostrich	njw
strong ale	ḏsrt
dagger	bꜣgsw
granite	mꜣṯ
awake	nhzj
Akhetaten	ꜣḫt-jtn
cool water	qbḥw
detest	bwtj
strife	ḫrwyw
conventionally	ḥtp-ḏj
breakfast	jꜥw-r
smell	sṯ
tear out	zḫz
pig	rrj
woman	nbt-pr
same time	m zp
fresh plant	rnpwt
spleen	nnšm
sarcophagus	ḏbꜣt
droplet	ṯꜣ
agent	wḫdw
barque	mꜥnḏt
barque	msktt
day-barque	ꜥḏt
greatly	r ꜥꜣt
Hapy	ḥpy
festival	ḏḥwtt
solitude	wꜥꜥw
obelisk	tḫn
meal	šꜣbw
roll	šfdw
birthing	mswt
rebus principle	𓁷
plate	gnẖ
throat	bgs
brick	ḏbt
cultic image	ꜥẖm
mud	ꜥmꜥt
porter	mnty
bush	bꜣt
sole	wꜥtj
rejoice	ršrš
stonemason	jky
row	jtrt
brewer	ꜥftj
adorned	ẖkr
gate	ꜥrrwt
transgress	thj
animal hide	mskꜣ
leap	ftft
quench	ꜥḫm
show	rḏj ḥr wꜣt
sacred tree	nꜥrt
raise	sṯzj
cereal	sẖt
clay jug	ḏwjw
common name	rn-nfr
council	ḏꜣḏꜣt
primaeval	pꜣwtj
region	sḫt-jꜣrw
snatch	ḫnp
south	rswt
dead	ṯztj
bow down	ksj
bowing	ksw
ancestor	ḏrtjw
joy	ṯḥw
fear	nrj
drive off	ꜣr
staff	ꜣryt
joint	ꜣšrt
rush	wnj
sorrow	ꜣhmt
weak	ꜣhd
mash	ꜣḥ
mythological island	ꜣḫ-bjt
well-disposed	ꜣḫ jb
scratch	ꜣẖꜥt
burn	ꜣḫf
threshing floor	zpt
emmer	zwt
grain	sšr
semen	mtwt
bravery	qnt
loosen	sfḫ
forever	r nḥḥ
bank	jḫmt
female servant	ꜥqyt
celestial	ḥnmmt
clothing	ḥbsw
fast	ḫꜣḫ
barque	wjꜣ-n-ḥḥw
bend	ḫꜣm
give	rḏj wꜣt n
forbearing	wꜣḥ jb
wound	wbnw
and vice-versa	ṯz-pẖr
epithet	nb-pt
Amun	nswt-nṯrw
baked goods	šns
god Horus-Behdeti	ḥr-bḥdtj
yield	wꜣḥyt
epithet	jmꜣḫw-ḫr-nṯr-ꜥꜣ
loaf	pzn
likewise	m mjtt
Troy	wꜣjwrjy
subject	nḏt
fish scale	šnft
gore	ṯwn
arena	mṯwn
resting place	sḫn
abode	msḫn
climb	jꜣq
ladder	mꜣqt
ferryboat	mẖnt
accounting	nt-ḥsb
shave	ẖꜥq
razor	mẖꜥqt
timber	nbs
guardian	mnhz
recognition	msjꜣt
nostril	msꜣḏt
mythological region	msqt
swear word	mḥsḥs
place	mzwr
cult site	jꜣt-wꜥbt
food	šbw
go around	qdj
bread	ḥbnnwt
chufa	wꜥḥ
respect	šfyt
stride	nmtt
matter	ḫrt
wet nurse	mnꜥt
bitter	dḥr
break up	ḫbs
sleep	nqdd
beautify	snfr
proclaim	ḥww
catch	ḥꜣm
pack up	ꜥrf
ointment	mḏt
green mineral pigment	wꜣḏw
give way	ḥmj
numerous	qnw
offering	ḥnkt
fortunate	mꜥr
flail	nḫꜣḫꜣ
child	nḫn
childhood	nḫnt
childhood	nḫnw
bald	wš
goddess Wosret	wsrt
lasso	spḥ
alternatively	ky-ḏd
flow	bꜥḥj
roast	ꜥgt
small oval	ḫnfw
epithet	jrt rꜥ
bread	t-rtḥ
funerary estate	pr-ḏt
food offering	mzwt
snake burrow	ṯpḥt
milk	jꜣtt
Allium	ḥḏw
chapel	kꜣr
front	r ḥꜣt
greater white-fronted goose	ṯrp
seven sacred oil	sfṯ
seven sacred oil	twꜣwt
seven sacred oil	nẖnm
seven sacred oil	sṯ-ḥꜣb
necropolis	r-sṯꜣw
goddess Nekhbet	nḫbt
goddess Wadjet	wꜣḏt
heavy beaded necklace	mnjt
loaf	nḥrw
match up	nḥr
strip	wnḫwj
mythological booth	zḥ-nṯr
epithet	ḫntj-zḥ-nṯr
Old Kingdom	ẖrj-tp-nswt
epithet	nṯr-nfr
half	smdt
union	dmḏ
judge	smꜣꜥ-ḫrw
smell	ḫnmw
bowman	jrj-pḏt
keeper	jrj-nfr-ḥꜣt
jubilee festival first celebrate	ḥꜣb-sd
pylon	bḫnt
coffin	qrsw
walk about	ḫntš
complaint	nḫwt
wind blow	mꜣꜥw
stinginess	nḏyt
rob	ḥꜥḏꜣ
lung	wfꜣ
inaccuracy	nwdw
warm	srf
breathe	nšp
cut up	fdq
gentle	zfn
rank	snmyt
greedy	skn
weary	wrḏ
forehead	dhnt
transgressor	thw
garden	ḥzp
fatty	ḏdꜣ
bake	rtḥ
baker	rtḥtj
cook	psj
group	zfṯyw
bring forth	nbnb
confine	ḫnr
punish	njk
creep	ḥnmnm
bow	jwnt
smell	ḫnm
testicles	ẖrwj
break through	znb
miracle	bjꜣyt
beeswax	mnḥ
bank	ḫfꜣꜣt
butt	ḫmꜥt
creation	zp-tpj
hem	npnpt
big-breasted	bntwt
orchard	ꜥt nt ḫt
penis	bꜣḥ
foundation	snṯ
obsidian	kf
Peseshkef	psš kꜣf
umbilical cord	npꜣw
encircle	mḥn
curving serpent	wr ḥkꜣw
adze	msḫtyw
Adze	nwꜣ wpwt
copulate	nk
copulate	dꜣdꜣ
leap	nhp
copulate	dꜣ
blue	jrtjw
dwarf	dng
testicles	jnswj
breasts	bntj
cloak	ṯꜣm
saw out	sꜥb
bakery	ꜥmr
bring up	rnn
glide	zbn
dog	jwjw
stomach	mnḏr
basket	mnḏm
basket	ꜥꜣnbpꜣjr
bend	qnb
pleasing	ꜥꜣb
suffer	wḫd
pain	wḫdt
beautiful	ꜥnj
enclosure	šntt
scorched	nwḫ
rise	bꜣẖ
east	wbnt
sidelock	dbnt
depart	wḏj
fornicator	nkw
grasp	šfd
swaddling clothes	nwdt
putrefaction	ḥwꜣꜣt
bed	ꜣṯt
child caretaker	ꜣṯyt
throwing stick	ꜥmꜥꜣt
frog	ꜥbḫn
storm	qrr
dispel	ḫrs
wick	ḥꜥt
decorate	sẖkr
panoply	ẖkrw
neglect	wzf
Satis	sṯjt
horn	krtj
along with	m ꜥb
Amorite	jmwr
epithet	qdšt-ẖzṯrt-ꜥnṯjt
target	ḥbw
sphinx	šspw
Sphinx	ḥr-m-ꜣḫt-ḫprj-rꜥ-tm
young man	rnp
be	sḏm ꜥš
gardener	kꜣry
greeting	nyny
bind	qꜣs
shouting	hmy
drive off	bḥn
make	sksj
Harmachis	ḥr-m-ꜣḫt
stumble	ḥꜣḥꜣ
realm	jgrt
turn aside	rqj
immoral act	btꜣ
thunderstorm	nšnj
falsely speak ill of	ḏws
toponym	msn
suffer	pꜣz
tie up	snḥ
city	bḥdt
confinement	sḏrt
funerary meal offer	dbḥt-ḥtp
embalm	sdwḫ
wink	ṯrm
mix together	šbn
disease	ḫꜣyt
New Year’s Day	tp-rnpt
boy	šr
warrior	nt-ḥtrj
send	rḏj jn.tw
behind	ḥr sꜣ
favored one	ḥzy
Lower Egypt	tꜣ-mḥw
praise	smsm
daily	m mnt
command	wḏ-mdw
daily need	ẖrt-hrw
send	rḏj jwt
chest	qꜣbt
Abrasax	ꜥbrꜥstjꜥks
Hystaspes	wꜣyšꜣtjsꜣpy
Achaemenid	jꜣḫmjnš
arrow	zwn
thank	dwꜣ nṯr n
neshmet-barque	nšmt
sail upstream	ḫsfj
complete	skm
priestess	ḥmt-nṯr
crawling legless animal	ḏdft
rage	ḏnd
hill	qꜣꜣ
pig	jpḥ
bird	ꜣpdwt
acclaim	ꜣfꜣf
yield	ꜣfjw
burning	ꜣmw
burning	ꜣmwt
mythical region	jw-n-ꜣmw-m-sḫt-sjsj
weary	swrd
breadth	sḫw
happy	ꜣms-jb
power	m ꜣmmt
refresh	sqbḥ
leather lacing	ḏḥꜥ
good	ꜣḫ n
find favour	ꜣḫ m jb
stillroom	ꜣḫyt
dead person	nb-ꜥnḫ
storehouse	šnꜥw
clay	sjn
for the sake of	n jb n
talkative	ꜥšꜣ-r
cows	nfrwt
leather waterskin	šdw
Haker-festival	hꜣkr
speak evil	wꜥꜣ
cleansing	wꜥbt
turtle	štw
jar	znbt
ushabti	šꜣwꜣbtj
sandstone	jnr ḥḏ nfr n rwḏt
sandstone	jnr ḥḏ mnḫ n rwḏt
hard stone	rwḏt
oppositional	rqj jb
gift	mnḥtj
mat	tmꜣ
blue	ṯḥnt
load	jwh
builder	jqdw
marshland	jdḥw
into	r ẖnw
beside	r ꜥ
burn	tkꜣ
distraught	pzḫ
vaginal discharge	nmsw
swelter	ntb
oppose	hd
jar	bꜣs
logogram	𓏌
smash	tšꜣ
hetes-sceptre	ḥts
rebus principle	𓌒
composite bow	𓌔
signet	ḏbꜥwt
course	ḥjpt
hasten	ḥjp
trample on	tjtj
mercy	jmꜣt
uniliteral phonogram	𓐠
together with	jrm
furthermore	ḥnꜥ-ḏd
pot	ḏꜣḏꜣw
until	nfryt-r
don’t	m-jr
don’t let	m-dyt
don’t let	m-jr-djt
image	ꜥẖmw nw ꜣḫt
fiery	ꜣḫfḫf
hasty	ꜣs jb
bald-headed vulture	ꜣz
bald	jꜣs
glow fiercely	ꜣzb
flame	ꜣsbyw
toast	t ꜣšr
ruin	ꜣqw
battle-axe	jqḥw
bent	ꜣk
heart	wḏꜣ jb
nurse	ꜣṯj
cargo	ꜣṯpw
bag	qꜣr
cargo	ꜣtpwt
turn	wḏb
burn	wbd
rage	ꜣd jb r
crocodile	ꜣdw
prepare	ꜣdt
black	kmm
lament	nḫj
bright	sšp
make fast	ṯꜣr
happen	zḫn
harm	sḏb
cultic image	sšmw
Great Festival	ḥꜣb-wr
supply	sḏfꜣ
everyone	bw-nb
chest	hn
epithet	wrdw-jb
fire	nsrt
nostril	šrt
offering gift	nḏt-ḥr
gait	šmt
fence	jnbt
bird trap	jbṯt
unripe sycamore fig	kꜣw
ripe sycamore fig	nqꜥwt
sate	ssꜣj
sting	ḏdb
discreet	kfꜣ
move	mnmn
bestir	nmnm
incense	kꜣpt
remove clothing	kfj
scurry	hwhw
trustworthy	kfꜣ-jb
inundation	bꜥḥw
traverse	ḫnz
windpipe	šbb
strain	ꜥtḫ
overthrow	ḥdb
sistrum	zššt
lute	wꜣr
skirmisher	mgꜣ
stranglehold	gwꜣwꜣ
very	r-jqr
offering	fꜣt
house	𓉐
throwstick	𓌙
determinative	𓀠
sheshed	šdšd
hole	bꜣyt
Pharaoh	wsr-mꜣꜥt-rꜥ
peace	šꜣrm
knife	jbn
cry	bjf
flood	ꜣgbj
disease	ꜣkwt
sip	jmḥ
butcher	jmnḥ
sawdust	wst
saw	wsj
bone marrow	jft
spend night	swḫꜣ
wring	wšn
dill	jmst
move	jsbnbn
women	jrwt
flood	sḥmyt
strange	ḏrḏr
claw	jꜣft
fall	dbꜣ
chastise	rmrm
field	rmrmt
pierce	bns
penis	mṯꜣ
think of	qmd
turn away	ꜥmḏ
stride widely	pḏ nmtt
fugitive	bhꜣw
Tura	rꜣ-ꜣw
trunk	jrkt
