now	𐔼
man	𐔼𐕐𐕒𐕡
and	𐕒𐕡𐕎
twenty	𐕍𐕈
saw	𐕀𐔴𐕀𐔴𐕙
tent	𐕀𐕒𐕙𐔰𐕎
heat	𐕀𐕒𐔽𐔰𐕣
debt	𐔲𐕒
gate	𐕒𐔽𐕌𐕒𐕡𐕇
antiphon	𐕄𐕒𐕙𐔱𐔰𐔰𐔾𐔴
Egypt	𐔴𐔲𐔼𐕢𐕜𐕒𐕚
Greek	𐔴𐔾𐔾𐔰𐕒𐕡𐔿𐔰
Israel	𐔼𐕚𐕙𐔰𐔺𐔶𐔾
Elisabeth	𐔴𐔾𐔼𐕚𐔰𐔱𐔴𐔸
August	𐔰𐕡𐔲𐕒𐕡𐕚𐕜𐕒𐕚
psalm	𐕚𐔰𐔾𐕌𐕒𐕚
hallelujah	𐔰𐔾𐔶𐔾𐕒𐕡𐔺𐔰
Corinthians	𐕄𐕒𐕙𐔼𐕎𐔸𐔰𐕒𐕡𐕀
Judea	𐔼𐕆𐕒𐕡𐔳𐔰
Rachel	𐕙𐔰𐕣𐔴𐔾
cherub	𐕣𐕙𐕒𐔱𐔰
grace	𐕌𐔰𐔳𐔼𐕅
image	𐕚𐔰𐕀𐔶
throne	𐕚𐔰𐔽𐕒𐕡𐕙𐔵𐔴𐔾
bishop	𐔼𐕚𐕄𐔰𐕗𐕒𐕚
voice	𐕄𐔰𐕅
sea	𐕂𐔰
fire	𐕂𐔴
far	𐔽𐔰𐕀𐔼
your	𐔱𐔽𐔴𐕔𐔼
Byzantium	𐕌𐔴𐔵𐔰𐔼𐔵𐕒𐕡𐔵𐔿𐔰
amen	𐔰𐕌𐔶𐕎
-less	-𐕎𐕒𐕡𐔸
cheap	𐔸𐕒𐔲𐕎𐕒𐕡𐔸
price	𐔸𐕒𐔲
reward	𐕛𐔰𐕙𐔵
brethren	𐔼𐕐𐔴𐔱𐕒𐕡𐕙
despiser	𐔰𐕢𐔼𐔺𐔴𐕚𐔱𐔰𐔰𐔾
move away	𐔸𐔰𐔼𐕘𐔴𐕚𐕒𐕡𐕎
wind	𐕌𐕒𐕡𐕐
go	𐔼𐕘𐔴𐕚𐕒𐕡𐕎
come	𐕆𐔴𐕘𐔴𐕚𐕒𐕡𐕎
teacher	𐕛𐔰𐕙𐕜𐔰𐕗𐔴𐕜
doctrine	𐕛𐔰𐕙𐕜𐔰𐕗𐔴𐕜𐕒𐕡𐕎
dancing	𐕙𐔰𐕛𐔴𐕚𐕒𐕡𐕎
praise	𐔰𐕔𐕙𐔴𐕢𐔴𐕚𐕒𐕡𐕎
praise	𐔰𐕔𐕙𐔴
purify	𐕌𐕒𐕡𐕟𐕒𐕡𐕙𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
Jesus Christ	𐕣𐔰𐕙𐕀𐔴𐕚𐔱𐔰𐔰𐔾
do	𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
doer	𐔱𐔰𐔰𐔾
sheepfold	𐔲𐕒𐔾
hundred	𐔱𐔰𐔹
hundred	𐕇𐕒𐕍𐕈
purifier	𐕌𐕒𐕡𐕟𐕒𐕡𐕙𐔱𐔰𐔰𐔾
scribe	𐕁𐔼𐕗𐔿𐔰𐔱𐔰𐔰𐔾
land	𐔰𐔺𐔵𐔼𐕁𐔼𐕗
book	𐕁𐔼𐕗
go	𐕙𐔰𐕡
feel	𐕒𐕜𐔴𐕚𐕒𐕡𐕎
soon	𐕒𐕡𐕚𐔼
quickly	𐕒𐕡𐕚𐔼-𐕒𐕡𐕚𐔼
Bethany	𐔱𐔼𐔸𐔰𐕎𐔼
see	𐔰𐕄𐔴𐕚𐕒𐕡𐕎
see	𐔰𐕄𐔰
work	𐔰𐕐
crowd	𐔷𐕒𐔾𐕒𐕛𐕒𐕡𐕙𐔳
turn around	𐔱𐔰𐔸𐕣𐔴𐕚𐕒𐕡𐕎
sleep	𐔱𐔰𐕚𐕄𐔴𐕚𐕒𐕡𐕎
alone	𐕚𐕒𐕡𐕎
roof	𐕞𐕡𐕘
under	𐕒𐕡𐕍𐔰
here	𐔴𐕌𐔴
there	𐔴𐕐𐔴
there	𐔴𐕜𐔴
life	𐕘𐕒𐕡𐔺𐕒𐕡𐕎
alive	𐕘𐕒𐕡𐔺
death	𐕒𐕡𐕗
candle	𐔱𐔰𐔾𐔰𐔾
survive	𐕣𐔰𐕙𐕀𐔴𐕚𐕒𐕡𐕎
priest	𐕣𐔰𐕆𐔰𐕎𐔰
eat	𐕒𐕡𐕣𐔴𐕚𐕒𐕡𐕎
baptise	𐕀𐔰𐕝𐕆𐔴𐕍𐔴𐕚𐕒𐕡𐕎
today	𐕘𐔴
Amos	𐕆𐔰𐕌𐕒𐕡𐕚
Greek	𐔺𐕒𐔳
quotation mark	𐕯
day	𐕘𐔼
Jerusalem	𐔴𐕙𐕒𐕡𐕚𐔰𐔾𐔴𐕌
Caesar	𐕄𐔶𐕚𐔰𐕙
dry	𐕍𐔰𐕙𐔼
cold	𐕌𐔼𐔼
full	𐔱𐔰𐔼
stone	𐔻𐔴
sun	𐔱𐔽𐔴𐕘
swim	𐔽𐕒𐕠𐕄
eat	𐕒𐕡𐕣
much	𐔰𐕛𐔴𐔾
few	𐕌𐔰𐔾
fragmentarily	𐕌𐔰𐔾𐔰𐕛𐔴𐔾
minimal	𐕌𐔰𐔾-𐕌𐔰𐔾
temporal	𐕌𐔰𐔾𐕗𐔽𐔼𐕒𐕡𐕎
Apostle	𐕆𐔴𐔱𐔼𐔺𐔰𐔺𐕒
prophetical	𐕌𐔰𐕙𐕘𐔰𐕛𐔴𐕎𐕒𐕡𐕎
twin	𐕗𐔽𐔰𐕒𐕡𐕘
toponym	-𐕀𐕒𐕡𐔿
that	-𐕄𐔴
river	𐕜𐕒𐕡𐕙
ship	𐕎𐔽𐔰
Cana	𐕄𐔰𐕎𐔰
idiot	𐔱𐔰𐕌𐔰𐕘𐔰𐔺
God	𐔱𐔼𐕀𐔰𐕃𐕒𐕡𐕘
two hundred	𐕛𐔼𐕂𐕍𐕒
robber	𐔰𐔱𐔰𐔵𐔰𐕄
harvest	𐔴𐕀
labour	𐔱𐕒𐕙𐔵
self	𐔼𐕖
altar	𐔱𐕒𐕡𐕠𐔰𐔾
holy cross	𐕌𐕒𐕡𐕟𐕒𐕡𐕙 𐔼𐕆𐕈𐔾
sign	𐕜𐔽𐔴𐔲
wave	𐕛𐕒𐕠𐔰𐕙
leper	𐕢𐔼𐕚𐔰𐔲
sad	𐕆𐕞𐕡𐕄𐔴𐕍𐔰𐕊
narrow	𐕍𐔰𐕊
court	𐔱𐔽𐔰𐕇𐔴𐕀𐕒𐕡𐔿
judgement	𐔱𐔽𐔰𐕇
judge	𐔱𐔽𐔰𐕇𐔴𐕃𐕒𐕡𐕘
lord	𐕃𐕒𐕡𐕘
create	𐔱𐔼𐕀
parent	𐔱𐔼𐕀𐔰𐔾
wavering	𐕗𐔽𐔰𐕆𐕞𐕡𐕄
big	𐔱𐕈𐔿𐔼
eternal	𐔿̃𐕎
cry	𐕆𐔼
lament	𐕆𐔼𐕆𐔼
lust	𐕎𐔼𐔵
desire	𐕎𐔼𐔵𐕢𐔴𐕚𐕒𐕡𐕎
speak	𐕢𐔴𐕚𐕒𐕡𐕎
say	𐕢𐔴
brother	𐕛𐔼𐕖𐔼
Gospel	𐔺𐕒𐕆𐔰𐕎𐔰𐕎𐔼 𐕌𐕒𐕡𐕟𐕒𐕡𐕙 𐕃𐕒𐕡𐔳𐔰𐕘𐔴𐕚𐕒𐕡𐕎
Gospel	𐕃𐕒𐕡𐔳𐔰𐕘𐔴𐕚𐕒𐕡𐕎
giving	𐔳𐔰𐕘𐔴𐕚𐕒𐕡𐕎
evangelist	𐕃𐕒𐕡𐔾𐕒𐕡𐕘𐔰𐔾
news	𐕃𐕒𐕡
barley	𐕌𐕒𐕡
foal	𐕣𐕒𐕡𐕙𐕒𐕡𐕄
confer	𐔰𐔰𐕎𐔰𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
Beelzebub	𐔱𐔴𐔾𐔵𐔴𐔱𐕒𐕡𐔾
Sadducees	𐔵𐔰𐔳𐕒𐕄𐔰𐕒𐕡𐕀
honour	𐕒𐕜𐔰𐕎
Ark of the Covenant	𐕜𐔰𐕗𐔰𐕎𐔲𐔼 𐔳𐔰𐔲𐕒𐕡𐕘𐕒𐔺
Ark	𐕜𐔰𐕗𐔰𐕎𐔲𐔼
fool	𐔵𐔰𐕌𐔰𐕙𐔰
temple	𐕊𐔰𐕜𐔰𐕙
church	𐔴𐕄𐔾𐔴𐕚𐔼
Transfiguration	𐔴𐔿𐔴𐔲𐔾𐔰𐕌𐔴𐕎
shepherd	𐔰𐕚𐔴𐕔
corruption	𐔱𐔼𐕂𐔴𐕚𐕒𐕡𐕎
say	𐕒𐕡𐕄
cave	𐔱𐔴𐕊𐔴𐕒𐕡𐕎
den	𐕐𐔰𐕎
wine	𐕔𐔼
coheir	𐔱𐔴𐕜𐔰𐔾𐔼𐕎𐕈𐕍𐔴
digraph	𐕒𐕡
digraph	𐕞𐕡
Derbent	𐕖𐕒𐔽
fable	𐔱𐔰𐔸𐔴𐕣𐔰𐔾𐔼𐕅
goat	𐕛𐔴𐔾
place	𐔱𐔼𐕎𐕟𐔴𐕀𐕒𐕡𐔿
reed	𐕒𐔱𐕒𐕡𐕣
hen	𐕄𐕒𐕡𐕄𐕒𐕡𐕟
neighbour	𐕃𐕒𐕡𐕌𐔰𐕙𐔻
bronze	𐕗𐔼𐔾𐔼𐕎𐕕
shoe	𐕇𐕒𐕡𐔾𐕒𐕡𐕇
himself	𐔼𐕖𐕒𐕡𐕎𐕖𐕒𐕡
-𐔼𐕎	-𐔴𐕎
brotherly love	𐔼𐕐𐔴𐔱𐕒𐕡𐕙𐔱𐕒𐕡𐕍𐔰𐕒𐕡𐕎
poor	𐕄𐔼𐕎𐕒𐕡𐔸
seer	𐔰𐕄𐔰𐔾
adessive case	-𐕣𐔰
net	𐔴𐔸
desiccated	𐔼𐕘𐔰𐕀𐕒𐕡𐔿
