river	kali
money	duit
babi ngepet	babi ngepet
pistol	beceng
berak doang	berak doang
steal	nimpé
mired	bérce
breast	tokét
eat	kémce
eat without paying	nembak
house	rokum
sex	snéki
fuck	ngewek
lie	chipowa
trousers	celokat
fearful	cémén
understand	dikopi
rich	kokai
nineteen	captun
ten thousand	ceban
hundred	cepé
hemp	chimenk
hemp	gokel
dream	manyun
two thousand	nocéng
informant	oskep
wife	bini
cunt	memek
stay	inep
big	gede
building	gedong
