tooth	o
tree	i
hair	ao
egg	ba
house	bai
food	ke
die	bi
child	ore
bone	ra
go	tu
nose	eno
eye	joku
moon	ari
fall	wudu
speak	mago
anaconda	jure
manioc	ju
go	kodu
hand	kera
blood	kure
fish	karo
water	pobo
name	ije
head	aora
fire	ʤoru
rain	bübütü
jaguar	adügo
animal	barögö
owl	tagogo
snail	uruwo
navel	künabo
fire	joru
star	kuieje
dog	arigao
woman	aredu
chicken	kagariga
bird	kiogö
meat	ködü
sleep	nudu
kill	bito
inform	bije
arrow	tugo
word	bataru
grow	ridʒo
fish	wogu
husband	oredu
come	aregodu
pus	adudu
mouth	ogʷa
steal	iwogu
mother	tʃe
play	bobatu
fishhook	bobata
search	dʒemaru
rib	dʒura
eye	dʒeku
grow	ritʃo
