he	in
moon	man
gall bladder	pi
kind	for
sago	to
tree kangaroo	we
food	nin
name	du
you	ni
ear	dm
taro	ti
cloud	se
liver	sn
pig	pe
star	skin
I	mit
river	ter
shoulder	bon
earth	bom
canoe	kom
gecko	dom
you	por
calf	din
eagle	fra
land	moi
butterfly	maw
root	ism
water	wi
eeltail	mum
coconut	kuk
we	mor
father	aide
sugarcane	terai
sun	sr
stomach	mo
centipede	sm
elder	abe
mother	ae
sand	bidi
little brother	iwi
elder brother	nen
egg	ak
they	nar
kind	oru
neck	dran
stone	wor
bandicoot	aine
bow	debe
brain	tomu
leech	piar
leaf	nate
thorn	toin
heart	fak
thigh	ker
fire	sibi
frog	peren
little sister	arbon
cockatoo	arkon
bamboo	sirkon
grandmother	koke
breadfruit	borka
they	kn
molar	bokon
wallaby	dk
big	wom
fruit	werin
tree	wr
pot	jek
pandanus	sabon
hornbill	keira
blood	seire
night	siwi
paddle	teiga
roof	siara
body	aitisom
tongue	ditom
forehead	benkwam
breast	amerom
nose	amidom
navel	amsr
head	awtetom
hair	erkigon
tooth	irkon
skin	isom
urine	isruk
small intestine	ewri
finger	ekruti
armpit	ekwirofum
throat	dmtek
elbow	ebetowrom
index finger	ekrumtemini
body hair	isomiboti
fingernail	matowirkon
moustache	menidi
leg	tefidrom
knee	smorom
lung	siromsiasom
large intestine	setom
heel	oisikwam
waist	wokukwam
bone	wetom
cheek	wesiam
rib	wasiam
ankle	tigibani
eyebrow	tibroskon
eyebags	tibromwerom
eye	tibdom
orphan	jabise
rat	dubin
cassowary	komosin
snake	kobrom
lizard	kangu
cuscus	kidomi
cuscus	isiboin
lizard	boriwai
worm	bomne
tail	abeyom
copra	kowrei
jungle	gwek
lightning	irakin
lake	kesif
rattan	kwregi
beach	makati
thunder	netom
sky	jetr
wind	jebn
mud	oksarigon
swamp	okwigon
foam	sinokrkwam
bark	wrwidom
mountain	trawn
sea	terigemi
flower	soiwek
village	noidi
knife	sidofi
policeman	sibijei
spear	sidofisiro
bamboo	sirom
floor	wisonsiam
rope	woisiam
book	wreminsiam
pen	wrewamini
color	nokaisom
red	fokini
black	mtai
green	syosyomi
white	tmari
firewood	jarkot
path	jewon
mosquito net	mni
headband	kwretam
smoke	mrosibi
fireplace	msm
house	nibar
ash	beskr
shovel	bomrkini
banana	toiwa
papaya	yebaga
cassava	tirbo
tobacco	bitabak
sweet potato	erebon
salt	pinyubekon
lime	meisimbekon
betel	kwarin
pumpkin	batua
heron	kobaire
chicken	kukey
mosquito	mingkin
fly	poyabr
bat	pror
grasshopper	saseinakin
beetle	singker
bird	sre
praying mantis	tigwrere
cicada	trere
owl	weimn
duck	birobai
grasshopper	brekwin
dragonfly	dosibaw
large	irmi
crocodile	deraw
shrimp	beresmin
ant	mawin
goanna	meyan
stick insect	mefi ae
mouse	mnondai
snail	pekawein
gecko	perebaw
spider	prakwen
slug	tinen
dog	wti
friend	moigori
we	awb
toe	tefirgwesasom
sole	tefirsetam
feces	oicam
buttocks	ofufum
thumb	nogwesiam
lip	moyntobrom
flesh	midom
earhole	dmfum
palm	akwir setam
wing	boronsiabrom
bamboo	abisiam
war	asrosirom
door	bakngkwam
great-grandparent	nengtom
young	jesoin
father	aidewi
mother	ae arbon
grandfather	woi
nostril	aku irofum
arm	akwidom
black	mokwon
kind	nesm
squirrel	wrew
kind	wndan
green	wisibain
kind	toindu
kind	tobere
kangaroo	piaki
kind	bew
kind	bubir
kind	eigir
kind	foba
kind	foirow
kind	pemin
fish	owtin
kind	mingkigonin
kind	miewm
kind	mietm
kind	jemum
bat	asowe
bat	fiau
whirlpool	keariamsakwan
wild	bso
sago	midam
sago	tobor
wet	toborwi
rice	winomn taigon
armband	atamatu
bag	borisom
helicopter	dosibawkom
cassowary	gweban
torch	gwerkir
mat	obsiam
school	wremin pr
board	wunotsiam
story	fawori
sandal	tefidom
kunai	woskon
kingfisher	wokin
king parrot	wirowei
