water buffalo	ຄວາຍ
flag	ທຸງ
ເມືອງ	ລາວ
1	໑
goat	ແບ້
tiger	ເສືອ
sheep	ແກະ
hand	ມື
ນະຄອນ	ວຽງຈັນ
blackboard	ກະດານ
pond	ບຶງ
teacher	ຄູ
aunt	ອາ
come	ມາ
cat	ແມວ
chicken	ໄກ່
medicine	ຢາ
cow	ງົວ
elephant	ຊ້າງ
mosquito	ຍຸງ
mountain	ພູ
fire	ໄຟ
boat	ເຮືອ
monkey	ລີງ
fan	ວີ
run	ແລ່ນ
forest	ປ່າ
farmer	ຊາວນາ
fever	ໄຂ້
malaria	ໄຂ້ຍຸງ
cure	ແກ້
egg	ໄຂ່
goose	ຫ່ານ
bee	ເຜິ້ງ
muntjac	ຟານ
dog	ໝາ
mouse	ໜູ
grass	ຫຍ້າ
of	ຫາ
spinning wheel	ຫຼາ
comb	ຫວີ
have	ມີ
give	ມອບ
bucket	ຄຸ
flower	ດອກໄມ້
table	ໂຕະ
watermelon	ໝາກໂມ
bowl	ໂອ
kick	ເຕະ
and	ແລະ
cushion	ເບາະ
fiddle	ຊໍ
pencil	ສໍ
study	ຮຽນ
fly	ເຫາະ
wait	ລໍ
wander	ເລາະ
bat	ເຈຍ
bird	ນົກ
wife	ເມຍ
beer	ເບຍ
lick	ເລຍ
father	ພໍ່
bridge	ຂົວ
novice	ຈົວ
near	ແປະ
say	ເວົ້າ
leaf	ໃບ
heart	ໃຈ
husband	ຜົວ
handle	ຖື
cough	ໄອ
in	ໃນ
black	ດຳ
pencil	ສໍດຳ
hotel	ໂຮງແຮມ
water	ນ້ຳ
frog	ອື່ງ
servant	ຂ້ອຍ
hello	ສະບາຍດີ
thank	ຂອບໃຈ
book	ປຶ້ມ
map	ແຜນທີ່
understand	ເຂົ້າໃຈ
this	ນີ້
that	ນັ້ນ
that	ພຸ້ນ
be	ແມ່ນ
2	໒
3	໓
4	໔
5	໕
6	໖
7	໗
8	໘
9	໙
0	໐
silver	ເງິນ
room	ຫ້ອງ
hoof	ກີບ
Laos	ເມືອງລາວ
city	ເມືອງ
mix	ຄົນ
country	ປະເທດ
language	ພາສາ
run into	ຖືກ
do	ເຮັດ
eat	ກິນ
eat	ທານ
drink	ດື່ມ
read	ອ່ານ
cook	ຄົວກິນ
write	ຂຽນ
lie down	ນອນ
coffee	ກາເຟ
tea	ຊາ
Lao	ພາສາລາວ
food	ອາຫານ
breakfast	ເຂົ້າເຊົ້າ
morning	ເຊົ້າ
hour	ຊົ່ວໂມງ
sticky rice	ເຂົ້າໜຽວ
minute	ນາທີ
second	ວິນາທີ
ຈັກ	ຈັກໂມງ
day	ວັນ
today	ມື້ນີ້
hello	ອາໂຫຼ
reptile	ເລືອຄານ
liquor	ເຫຼົ້າ
galangal	ຂ່າ
larb	ລາບ
nut	ໝາກ
papaya	ໝາກຫຸ່ງ
ໝາກ	ໝາກຂາມ
ຫົວ	ສິງໄຄ
ginger	ຂີງ
garlic	ຜັກທຽມ
croissant	ຄົວຊ່ອງ
Sunday	ວັນອາທິດ
week	ອາທິດ
Monday	ວັນຈັນ
Tuesday	ວັນອັງຄານ
Wednesday	ວັນພຸດ
Thursday	ວັນພະຫັດ
Friday	ວັນສຸກ
Saturday	ວັນເສົາ
month	ເດືອນ
boyfriend	ຜູ້ບ່າວ
girlfriend	ຜູ້ສາວ
sugar	ນ້ຳຕານ
palm	ຕານ
Buddhism	ສາດສະໜາພຸດ
religion	ສາດສະໜາ
listen	ຟັງ
sit	ນັ່ງ
stand	ຢືນ
walk	ຍ່າງ
know	ພຸດ
creep	ເລືອ
east	ທິດຕາເວັນອອກ
sunrise	ຕາເວັນອອກ
sun	ຕາເວັນ
day	ເວັນ
Buddha	ພຸດທະ
Burma	ພະມ້າ
Cambodia	ກຳພູຊາ
Saigon	ໄຊງ່ອນ
leg	ຂາ
knee	ເຂົ່າ
be	ເປັນ
what	ຫຍັງ
prince	ເຈົ້າ
Englishman	ຄົນອັງກິດ
England	ອັງກິດ
be	ຢູ່
city	ວຽງ
this	ອັນນີ້
khene	ແຄນ
sticky	ໜຽວ
ແມ່	ແມ່ນ້ຳຂອງ
mother	ແມ່
thing	ຂອງ
royal	ຫຼວງ
royal	ພຣະ
ແຂວງ	ຫຼວງພະບາງ
ສັດ	ສັດສຸພາບ
polite	ສຸພາບ
gaur	ກະທິງ
banteng	ງົວແດງ
be able	ໄດ້
body	ອົງ
fruit	ໜ່ວຍ
glass	ຈອກ
ຂ້ອຍ	ຂ້ອຍຊື່
sepak takraw	ກະຕໍ້
ball	ຕໍ້
wane	ແຮມ
school	ໂຮງຮຽນ
vulva	ໂຍນີ
durian	ທຸລຽນ
vagina	ຊ່ອງຄອດ
hole	ຊ່ອງ
Buddha	ພຣະເຈົ້າ
Magha Puja	ມະຄະບູຊາ
worship	ບູຊາ
ປີ	ປີໃໝ່
new	ໃໝ່
rocket festival	ບຸນບັ້ງໄຟ
obtain	ຮັບ
breast	ຊວງ
secret	ຊຳເລົາ
tamarind	ຂາມ
turkey berry	ໝາກແຄ້ງ
star	ດາວ
healthy	ສະບາຍ
Siam	ສຍາມ
ປະເທດ	ປະເທດລາວ
level	ລະດັບ
person	ຜູ້
order	ໃຊ້
sulphur	ມາດ
stork	ສາ
be able	ສາມາດ
ແຂວງ	ສາລະວັນ
ແຂວງ	ຈຳປາສັກ
padaek	ປາແດກ
att	ອັດ
dream	ຄວາມຝັນ
ten	ສິບ
eight	ແປດ
seven	ເຈັດ
six	ຫົກ
five	ຫ້າ
four	ສີ່
three	ສາມ
two	ສອງ
one	ໜຶ່ງ
intelligent	ສັບປັນຍາ
skillful	ສະຫຼາດ
light	ໄຕ້ໄຟ
light	ໄຕ້
candle	ປະທີບ
Buddhist Era	ພຸດທະສັກກະລາດ
BE	ພ.ສ.
again	ອີກ
horse	ມ້າ
zebra	ມ້າລາຍ
stripe	ລາຍ
nirvana	ນິພານ
bodhisattva	ພຣະໂພທິສັດ
samsara	ສັງສາລະວັດ
Theravada	ເຖລະວາດ
enlightenment	ໂພທິ
arrow	ລູກສອນ
sandbeach	ຫາດຊາຍ
bow	ຄັນທະນູ
chocolate	ໂຊໂກລາ
communism	ລັດທິຄອມມູນິດ
teaching	ລັດທິ
door	ປະຕູ
ສິບ	ສິບເອັດ
fight	ຕໍ່ສູ້
ໂຕ	ຕໍ່
fight	ຮົບ
unusual	ສຳຄັນ
island	ດອນ
letter	ຈົດໝາຍ
milk	ນ້ຳນົມ
breast	ນົມ
ແມ່	ແມ່ນ້ຳ
snake	ງູ
ສິບ	ສິບສາມ
tooth	ແຂ້ວ
ສິບ	ສິບສອງ
village	ບ້ານ
well	ນ້ຳສ້າງ
after	ຫຼັງຈາກ
walk	ຜ່ານ
we	ພວກເຮົາ
I	ເຮົາ
group	ພວກ
free	ໂລ່ງ
reach	ມາຮອດ
place	ບ່ອນ
right	ດ້ານຂວາ
right	ຂວາ
road	ທາງ
field	ທົ່ງນາ
cotton	ຝ້າຍ
cucumber	ໝາກແຕງ
wide	ກວ້າງ
way	ເສັ້ນທາງ
cart	ກວຽນ
back and forth	ທຽວ
finish	ສຸດລົງ
place	ທີ່
tree	ຕົ້ນໄມ້
that	ຊຶ່ງ
coconut	ພ້າວ
more	ກວ່າ
group	ໝູ່
back	ຫຼັງ
roof	ຫຼັງຄາ
house	ເຮືອນ
even	ພຽງ
because	ເນື່ອງຈາກ
stop	ຈະ
objective	ຈຸດໝາຍ
destination	ຈຸດໝາຍປາຍທາງ
eat	ກິນເຂົ້າ
going to	ກຳລັງຈະ
stare	ເບິ່ງ
television	ໂທລະທັດ
flood	ນ້ຳຖ້ວມ
lesbian	ຜູ້ຍິງຮັກຜູ້ຍິງ
woman	ຜູ້ຍິງ
travel	ເດີນທາງ
