now	ela
say	ko
do	kor
we	আমি
when	zela
consume	kha
why	কেনে
bridge	দলং
plant	গছ
today	আজি
hair	চুলি
morning	ৰাতিপুৱা
dry	শুকান
bad	বেয়া
girl	চেংৰী
boy	চেংৰা
then	şela
then	ṣela
when	könbela
man	beṭa saöa
woman	beṭi saöa
wear	pindh
come	aṣ
cut	kaṭ
barber	নাউৱা
barber	নাপিত
towel	আংছা
jakoi	জাকৈ
jungle cat	হাপা
