wife	𐊍𐊀𐊅𐊀
brother	𐊏𐊚𐊏𐊆
Lycian	𐊀
Lycian	𐊁
Lycian	𐊂
Lycian	𐊃
Lycian	𐊄
Lycian	𐊅
Lycian	𐊆
Lycian	𐊇
Lycian	𐊈
Lycian	𐊉
Lycian	𐊊
Lycian	𐊋
Lycian	𐊌
Lycian	𐊍
Lycian	𐊎
Lycian	𐊏
Lycian	𐊐
Lycian	𐊑
Lycian	𐊒
Lycian	𐊓
Lycian	𐊔
Lycian	𐊕
Lycian	𐊖
Lycian	𐊗
Lycian	𐊘
Lycian	𐊙
Lycian	𐊚
Lycian	𐊛
Lycian	𐊜
daughter	𐊋𐊂𐊀𐊗𐊕𐊀
sheep	𐊜𐊀𐊇𐊙
collateral descendant	𐊀𐊖𐊁𐊅𐊁𐊑𐊏𐊁𐊇𐊁
Lycia	𐊗𐊕𐊐𐊎𐊆𐊖
