Parthian	𐭀
Suren	𐭎𐭅𐭓𐭉𐭍
Narseh	𐭍𐭓𐭉𐭎𐭇𐭅
this	𐭆𐭍𐭄
Mazdean	𐭌𐭆𐭃𐭉𐭆𐭍
Shapur	𐭔𐭇𐭉𐭐𐭅𐭇𐭓
from	𐭌𐭍
Ardashir	𐭀𐭓𐭕𐭇𐭔𐭕𐭓
if	𐭀𐭊
Wahram	𐭅𐭓𐭉𐭇𐭓𐭌
Mihrdat	𐭌𐭕𐭓𐭃𐭕
Arshak	𐭀𐭓𐭔𐭊
Meshan	𐭌𐭉𐭔𐭍
Hyrcania	𐭅𐭓𐭊𐭍
Caesar	𐭊𐭉𐭎𐭓
army	𐫙𐫘𐫛𐫀𐫅
crown	𐫟𐫀𐫡𐫤𐫀𐫃
Germania	𐭂𐭓𐭌𐭀𐭍𐭉𐭀 𐭇𐭔𐭕𐭓
accountant	𐭀𐭇𐭌𐭓𐭊𐭓
stone	𐫀𐫘𐫗𐫃
foot	𐫛𐫀𐫅
ten thousand	𐫁𐫏𐫇𐫡
gusan	𐫃𐫇𐫘𐫀𐫗
grace	𐫙𐫢𐫗𐫇𐫍𐫡
Rastak	𐭓𐭎𐭕𐭊
Asuristan	𐭀𐭎𐭅𐭓𐭎𐭕𐭍
image	𐭐𐭕𐭊𐭓
Parthia	𐭐𐭓𐭕𐭅
attendant	𐫍𐫀𐫖𐫍𐫏𐫡𐫉
similar	𐫍𐫀𐫇𐫘𐫀𐫡
thing	𐫙𐫏𐫡
argbed	𐭀𐭓𐭊𐭐𐭕𐭉
image	𐫛𐫅𐫐𐫡
Orodes	𐭅𐭓𐭅𐭃
god	𐫁𐫃𐫛𐫇𐫍𐫡
Middle Iranian	𐭐𐭊𐭅𐭓
