bird	𑄛𑄬𑄇𑄴
fish	𑄟𑄌𑄴
lock	𑄖𑄣
plate	𑄗𑄣𑄴
comb	𑄛𑄪𑄚𑄨
snail	𑄥𑄟𑄪𑄇𑄴
saw	𑄃𑄘𑄢
crab	𑄇𑄋𑄢
duck	𑄦𑄌𑄴
wolf	𑄤𑄇𑄴
frog	𑄝𑄬𑄋𑄴
word	𑄢𑄧
sentence	𑄦𑄧𑄙
attendant	𑄦𑄢𑄉
wedding	𑄥𑄪𑄟𑄪𑄣𑄁
affection	𑄦𑄨𑄢𑄴𑄝𑄬
carambola	𑄦𑄮𑄢𑄮𑄋
temple	𑄦𑄨𑄠𑄧𑄁
monk	𑄟𑄪𑄎𑄴𑄏𑄬𑄁
ghost	𑄞𑄪𑄖𑄴
river	𑄉𑄧𑄋
shell	𑄌𑄧𑄉𑄧𑄣
skin	𑄌𑄟𑄴
snail	𑄌𑄖𑄴
squirrel	𑄌𑄧𑄉𑄧𑄘
oil lamp	𑄌𑄘𑄨
moon	𑄌𑄚𑄴
air	𑄦𑄝
body	𑄉
hand	𑄦𑄖𑄴
language	𑄞𑄌𑄴
layer	𑄗𑄧𑄢𑄴
rain	𑄏𑄧𑄢𑄴
shoe	𑄎𑄧𑄘
shop	𑄘𑄧𑄉𑄚𑄴
pillar	𑄗𑄧𑄟𑄴
priest	𑄒𑄉𑄪𑄢𑄴
thunder	𑄒𑄙𑄢𑄴
guest	𑄉𑄧𑄢𑄴𑄝
pidgeon	𑄇𑄧
dictionary	𑄇𑄧𑄙𑄖𑄢
vocabulary	𑄇𑄧𑄙𑄗𑄪𑄛𑄴
pronunciation	𑄞𑄌𑄴𑄟𑄖𑄴
parliament	𑄥𑄧𑄁𑄥𑄧𑄞
dam	𑄉𑄧𑄙
music	𑄉𑄧𑄖𑄴
home	𑄊𑄧𑄢𑄴
strength	𑄢𑄧𑄖𑄴
famine	𑄢𑄖𑄴
lover	𑄣𑄋𑄳𑄡𑄴
lover	𑄣𑄋𑄧𑄚𑄨
love	𑄣𑄋𑄴
gold	𑄥𑄧𑄚
rice	𑄞𑄖𑄴
water	𑄛𑄚𑄨
rabbit	𑄈𑄧𑄢𑄴𑄉𑄧𑄌𑄴
match	𑄍𑄮𑄣𑄉𑄧𑄢𑄴
