Manipuri	মনিপুরী
village	ꯈꯨꯟ
lotus	ꯊꯝꯕꯥꯜ
moon	ꯊꯥꯅꯤꯜ
sun	ꯅꯨꯃꯤꯠ
China	ꯆꯤꯅꯥ
stone	ꯅꯨꯡ
history	ꯄꯨꯋꯥꯔꯤ
egg	ꯌꯦꯔꯨꯝ
chicken	ꯌꯦꯟ
water	ꯏꯁꯤꯡ
child	ꯑꯉꯥꯡ
garlic chive	ꯃꯔꯣꯢ ꯅꯥꯀꯨꯞꯄꯤ
Bhagavad Gita	ꯚꯒꯕꯗ ꯒꯤꯇꯥ
Sanskrit	ꯁꯡꯁ꯭ꯀ꯭ꯔꯤꯠ
Ramayana	ꯔꯥꯃꯥꯌꯟ
Ayurveda	ꯑꯥꯌꯨꯕꯦꯗ
history	ꯏꯇꯤꯍꯥꯁ
one	ꯑꯃꯥ
two	ꯑꯅꯤ
three	ꯑꯍꯨꯝ
four	ꯃꯔꯤ
five	ꯃꯉꯥ
six	ꯇꯔꯨꯛ
eight	ꯅꯤꯄꯥꯟ
nine	ꯃꯥꯄꯟ
ten	ꯇꯔꯥ
twenty	ꯀꯨꯟ
twenty	ꯀꯨꯜ
forty	ꯅꯤꯐꯨ
sixty	ꯍꯨꯝꯐꯨ
eighty	ꯃꯔꯤꯐꯨ
ninety	ꯃꯔꯤꯐꯨꯇꯔꯥ
seventy	ꯍꯨꯝꯐꯨꯇꯔꯥ
moon	ꯊꯥ
sun	ꯀꯣꯔꯧꯍꯟꯕ
cloud	ꯂꯩꯆꯤꯜ
bird	ꯆꯦꯛꯂꯥ
bird	ꯄꯣꯝꯕꯤ
bird	ꯎꯆꯦꯛ
father	ꯄꯟꯊꯧ
mother	ꯄꯥꯂꯦꯝ
tooth	ꯌꯥ
fish	ꯉꯥ
fish	ꯂꯦꯝꯂꯩ
hand	ꯈꯨꯠ
cat	ꯍꯧꯗꯣꯡ
pineapple	ꯀꯤꯍꯣꯝ
village	ꯈꯨꯜ
garlic	ꯆꯅꯝ
body	ꯁꯥ
Shiva	ꯁꯤꯕ
head	ꯀꯣꯛ
name	ꯀꯣꯛ ꯂꯣꯟꯁꯨꯝ
palate	ꯉꯧ
name	ꯉꯧ ꯂꯣꯟꯁꯨꯝ
mouth	ꯆꯤꯟ
mouth	ꯆꯤꯜ
neck	ꯈꯧ
name	ꯒꯣꯛ
name	ꯘꯧ
eye	ꯃꯤꯠ
name	ꯃꯤꯠ ꯂꯣꯟꯁꯨꯝ
eyelash	ꯄꯥ
name	ꯄꯥ ꯂꯣꯟꯁꯨꯝ
place	ꯐꯝ
letter	ꯃꯌꯦꯛ
name	ꯕꯥ
name	ꯚꯝ
name	ꯙꯧ
name	ꯓꯝ
backbone	ꯌꯥꯡ
name	ꯍꯨꯛ
ear	ꯅꯥ
name	ꯅꯥ ꯂꯣꯟꯁꯨꯝ
duty	ꯊꯧ
zero	ꯐꯨꯟ
zero	ꯐꯨꯜ
zero	꯰
one	꯱
two	꯲
three	꯳
four	꯴
five	꯵
six	꯶
seven	꯷
eight	꯸
eight	ꯅꯤꯄꯥꯜ
intellect	ꯂꯧꯁꯤꯡ
ꯂꯣꯟ	ꯏꯡꯒ꯭ꯔꯥꯖꯤ
ꯂꯣꯟ	ꯏꯪꯂꯤꯁ
Manipur	ꯃꯅꯤꯄꯨꯔ
India	ꯏꯟꯗꯤꯌꯥ
name	ꯃꯤꯡ
America	ꯑꯃꯦꯔꯤꯀꯥ
USA	ꯌꯨꯑꯦꯁꯑꯦ
Burma	ꯀꯕꯣ
Burma	ꯑꯧꯋꯥ
leopard	ꯀꯕꯣꯀꯩ
water hyacinth	ꯀꯕꯣꯀꯡ
Myanmar	ꯃ꯭ꯌꯥꯟꯃꯥꯔ
palace	ꯀꯣꯅꯨꯡ
Indonesia	ꯏꯟꯗꯣꯅꯦꯁꯤꯌꯥ
Nepal	ꯅꯦꯄꯥꯜ
Sunday	ꯅꯣꯡꯃꯥꯏꯖꯤꯡ
Monday	ꯅꯤꯡꯊꯧꯀꯥꯕ
Tuesday	ꯂꯩꯕꯥꯛꯄꯣꯛꯄ
Wednesday	ꯌꯨꯝꯁꯀꯩꯁ
Thursday	ꯁꯒꯣꯜꯁꯦꯜ
Friday	ꯏꯔꯥꯏ
Saturday	ꯊꯥꯡꯖ
today	ꯉꯁꯤ
week	ꯆꯌꯣꯜ
message	ꯄꯥꯑꯣ
