くるま	車
ってぃー	月
grandfather	あさ
stone	いち
あが	赤
ant	蟻
っとぅ	人
water	水
ぬー	何
はい	南
rain	雨
きでぃ	傷
ばるん	割
かいく゚	卵
ってぃ	口
なー	名
night	夜
house	家
mountain	山
ちま	島
てぃー	手
あがい	明
あん	有
どぅだ	枝
うた	歌
うく゚ん	泳
crow	烏
soot	煤
cow	牛
むぬ	物
man	男
ちく゚	直
いち	石
sand	砂
った	舌
んに	船
はな	花
はー	葉
うぎるん	起
mirror	鏡
cloud	雲
うとぅ	音
ふん	食
たまち	魂
fish	魚
はなぶる	鼻
flower	はな
Okinawa	沖縄
spider	蜘蛛
Japan	大和
rain	あみ
eat	ふん
be	あん
song	うた
soot	ちち
water	みん
airplane	飛行機
cow	うち
all right	大丈夫
car	くるま
community	ちま
sun	天道
leaf	はー
fish	いゆ
night	どぅる
egg	かいく゚
head	みんぶる
brown sugar	黒砂糖
language	物言
spider	くぶ
sand	ちな
crow	がらち
friend	同士
friend	どぅち
prison	牢屋
prison	どぅや
house	だー
Miyako	宮古
Okinawa	与那国
Miyako	宮古物言
Okinawa	うんな
沖縄物言	沖縄物言
Okinawan	うんなんむぬい
Okinawa	八重山
八重山物言	八重山物言
Yaeyama	だーまんむぬい
与那国物言	与那国物言
Yonaguni	どぅなんむぬい
大和物言	大和物言
Japanese	だまとぅんむぬい
Japan	だまとぅ
locative marker	んき
mouth	ってぃ
human	っとぅ
you	んだ
I	あぬ
swim	うく゚ん
swim	泳く゚ん
older brother	すなてぃ
all right	だいどぅぶ
what	ぬー
wake up	うぎるん
wake up	起ぎるん
language	むぬい
Miyako language	みゃーぐんむぬい
Miyako	みゃーぐ
time	くぬばすん
I	我ぬ
big	まいん
man	びんが
tongue	った
older brother	すだ
child	赤目
child	あがみ
breakfast	っとぅむってぃぬいー
breakfast	努むってぃぬいー
morning	努むってぃ
morning	っとぅむってぃ
nose	はなぶる
nose	鼻ぶる
soot	ひんぐ
eat	食ん
break	ばるん
break	割るん
decrease	ひんなるん
Yaeyama	だーま
wound	きでぃ
garden	みなが
light	明がい
light	あがい
red	あが
branch	どぅだ
thing	むぬ
boat	んに
be	有ん
moon	ってぃー
sound	うとぅ
hand	てぃー
name	なー
immediately	直く゚
immediately	ちく゚
welcome	わーり
soul	たまち
rainbow	あみぬみゃ
diminutive noun	てぃ
fishing	魚ぱし
