dog	犬
lap	嘬
roar	嘯
fear	嘵
resonant	嘹
harmony	嘻
탄	嘽
eat	噉
율	噊
쟁	噌
inhale	噏
달	噠
욱	噢
주	噣
close	噤
device	器
옹	噰
throat	噲
톤	噸
신	噺
하	嚇
교	嚙
throat	嚨
frown	嚬
strict	嚴
양	嚷
환	嚾
효	囂
천	囅
pocket	囊
찰	囋
촉	囑
란	囒
설	囓
time	回
cause	因
shine	囧
창	囪
완	园
총	囱
surround	囲
solid	固
limit	囿
circle	圈
country	國
둘레	圍
garden	園
circle	圓
library	圕
painting	圖
도	圗
group	團
역	圛
원	圜
earth	土
exist	在
concave	圩
trowel	圬
earth	地
수	圳
기	圻
dust	坌
pit	坎
sit	坐
pit	坑
땅	坤
flat	坦
earthenware	坩
plain	坪
boundary	坫
field	坰
륙	坴
지	坻
split	坼
lot	垈
border	垓
stop up	垔
hill	垖
boundary	垠
일본	垳
fine	埃
연	埏
field	埜
region	域
add	埤
식	埴
grains	埶
배	培
foundation	基
main	堂
chimney	堗
high ground	堠
dyke	堤
연	堧
endure	堪
announce	報
yard	場
piece	塊
탑	塌
highland	塏
탑	塔
cemetery	塚
오	塢
전	填
brick	塼
private	塾
루	塿
trowel	墁
border	境
서	墅
fall	墜
increase	增
번	墦
fall	墮
오	墺
wall	壁
block	壅
altar	壇
pressure	壓
fort	壔
루	壘
break	壞
soil	壤
강	夅
봉	夆
재	夈
릉	夌
復	复
summer	夏
outside	外
many	多
night	夜
욋	夞
dream	夢
large	大
sky	天
man	夫
요	夭
loss	失
barbarian	夷
cod	夻
offer	奉
point	奌
star	奎
brilliant	奐
open	奓
flee	奔
cover	套
deep	奥
장	奨
화장	奩
석	奭
like	好
like	如
아이	妊
envy	妒
prostitute	妓
아름답다	妤
envy	妬
wife	妻
concubine	妾
후	姁
matron	姆
姉妹	姉
beginning	始
clan	姓
entrust	委
아이	姙
lovely	姣
midwife	姥
evil	姦
질	姪
woman	姬
아름다울	姱
beautiful	姸
dignity	威
baby	娃
루	娄
dance	娑
낭	娘
elegant	娜
beautiful	娟
아이	娠
prostitute	娼
old woman	婆
beautiful	婕
marriage	婚
woman	婦
enjoy	婾
medium	媒
charming	媚
beauty	媛
lewd	媟
왜	媧
give	媵
온	媼
mother	媽
시집	嫁
sister-in-law	嫂
jealousy	嫉
뇨	嫋
hate	嫌
old woman	嫗
despise	嫚
widow	嫠
정실	嫡
beautiful	嫣
항	嫦
soft	嫩
무	嫵
elegant	嫻
troublesome	嬈
lady	嬙
court	嬪
taunt	嬲
be full of	嬴
lazy	嬾
widow	孀
son	子
letter	字
have	存
filial piety	孝
맹	孟
solitude	孤
learn	学
grandchild	孫
알	孵
learn	學
서자	孼
서자	孽
twin	孿
저	宁
whole	宇
protection	守
peace	安
宋朝	宋
complete	完
large	宏
silent	宓
root	宗
government	官
infinite	宙
decide	定
완	宛
jewel	宝
guest	客
room	室
eunuch	宦
house	宮
official	宰
harm	害
night	宵
신	宸
face	容
grievance	寃
인	寅
dense	密
bandit	寇
사람	寊
한갖	寋
wealth	富
cold	寒
녕	寜
lonely	寞
비탈진	寠
침대	寢
아이	寣
reality	實
安寧	寧
울짱	寨
copy	寫
료	寮
총	寵
treasure	寶
큰	寷
degree	寸
temple	寺
률	寽
위	尉
respect	尊
confront	對
direct	導
smallness	小
little	少
료	尞
seldom	尠
especially	尤
다리	尦
Korean foot	尺
buttocks	尻
여승	尼
exhaust	尽
미	尾
뇨	尿
bureau	局
거	居
house	屋
feces	屎
unfold	展
루	屚
도	屠
many	屢
footwear	履
footwear	屨
left	屮
둔	屯
역	屰
메	山
출	岀
산	岃
잠	岑
hill	岡
cape	岬
호	岵
bank	岸
상	峠
最高峰	峰
island	島
협	峽
cliff	崖
hill	崗
외	崴
남기	嵐
산	嵡
차	嵯
산	嵷
uneven	嵾
high	嶃
도	嶋
precipitous	嶙
high	嶠
산	嶶
령	嶺
island	嶼
규	巋
전	巓
전	巔
암	巖
river	川
state	州
경	巠
nest	巢
nest	巣
렵	巤
craftsman	工
left	左
skillful	巧
거	巪
shaman	巫
부	巬
worker	巭
self	己
이	已
땅	巴
팟	巼
towel	巾
market	市
탕	帑
말	帕
렴	帘
질	帙
silk	帛
emperor	帝
commander	帥
teacher	師
seat	席
belt	帶
honorable	常
정	幀
turban	幘
wimple	幞
당	幢
help	幫
curtain	幬
shield	干
flat	平
even	幵
fortune	幸
간	幹
환	幻
childish	幼
vast	広
장	庄
bed	床
sequence	序
store	店
star	庚
warehouse	府
courtyard	庭
numerous	庶
send	庽
淸廉	廉
conceal	廋
치	廌
stable	廏
주	廚
terminate	廢
broad	廣
곶	廤
stretch	延
조정	廷
build	建
support	廾
변	弁
hide	弇
type	式
bow	弓
조	弔
pull	引
