wheal	kubõl
full	täüs'
work	tüü
pith	säsü
might	vägi
ivory	elevandiluu
elephant	elevant'
united	ütis-
community	ütiskund
state	riik'
United Kingdom	Ütiskuningriik'
kingdom	kuningriik'
hedgehog	siil'
bead	helm'
pike	haug'
horse	hopõn'
well	kaiv
bear	kahr
stem	kõrs'
crane	kurg'
shovel	lapjo
widow	läsk'
sell	müümä
arse	perseq
knee	põlv'
fat	rasõv
seed	seemen
mushroom	siin'
god	jummal'
hare	jänes
holy	pühä
squirrel	orrav
birch	kõiv
dew	kastõq
height	korgus
soup	liim'
thread	lõim'
bird cherry	tuum'
nut	päheq
