fish	ab
one	nu
wood	te
pig	be
fire	ad
plate	lama
mountain	buku
place	mana
human	ne
I	na
big	ele
fast	user
canoe	je
crocodile	bapa
horse	kuda
also	di
village	abang
earth	por
small	kiki
water	jar
star	id
coconut	vet
teacher	guru
sea	tang
water	yer
tail	ora
pan	ara
village	desa
tasty	tama
moon	uru
tuwe	tue
language	hur
four	buta
banana	mol
two	aru
house	hava
book	buk
new	hiba
sun	ved
fat	kuta
tue	tuwe
and	belta
dog	jabar
shirt	kondo
sugar cane	ub
dry	uruka
bad	jasi
God	Lahatala
clay	meke
animal	binanta
all	emangpi
first	halomang
elephant	bindaqali
