black bear	sčə́txʷnʼ
rain	sχasíln'
prairie	máqʷm
hand	čálš
fish	cíłn
tail	súpsn'č
maggot	ʔáaqiʔ
crow	sk'áak'a
soft basket	k'ʷáałq
black salmon	k'ʷaléeʔ
good	χéʔs
charcoal	c'éʔstq
cooked camas	qéʔq
dog	qáχaʔ
rutabaga	ninamú
apple	ʔápls
cherry	čə́lis
potato	qáawim'
potato	cáqʷł
bark canoe	sq'ʷíʔ
cascara	xʷíʔxʷn'ł
ash tree	tawásnł
ash tree	χʷúmtnł
head louse	mə́ščn'
body louse	spastə́n
mink	mə́sčm'
mink	stəléʔpšuʔ
coyote	snəč'ə́l'
mosquito	psʔáiq
mosquito	c'ə́čqs
mosquito	p'ačéewqs
mosquito	t'ík'ʷ
sea otter	p'ítkʷł
