bull	toro
angel	ange
August	agosto
December	diciembre
April	abri
spider monkey	munu
doctor	ndoto
flashlight	joco
chocolate	xua
Mexico City	Sndaaꞌ
Xochistlahuaca	Suntjaaꞌ
gopher	tyosan
deer	quisojndëë
duck	quitjaan
roadrunner	tooꞌn
squirrel	tyotso
cattle egret	löꞌncjö
raccoon	quixꞌoo
bird	quisa
skunk	quitsꞌein
Amuzgo	tsanngue
Oaxaca	Nontsco
twin	cüatyi
chewing gum	chiquile
Nion	Nguee Nion
Annona muricata	tsontëchcyaꞌneon
Arachis hypogaea	tsötëtyi
Cocos nucifera	tsontëxꞌa
Annona muricata	tëchcyaꞌneon
Ceiba pentandra	tsonjnanꞌ
stone	tsjöꞌ
piñata	tsjöntanꞌ
table	tsonmesa
banana	tsontësa
watermelon	tsquen quindei
pineapple	tënonntsa
black sapote	tëntyeꞌ
rattlesnake	quitsutsja
fer-de-lance	quitsu ndyua
mosquito	quitsjan
bat	quitsjoon
vampire bat	quitsjoon quiso
scorpion	kítzjö ntoⁿ
scorpion	kítzjö ʼjaⁿ
fish	quitsca
locust	quitscandye
Mixtec	kìtzue
parrot	quixeeꞌ
crab	quixioonꞌ
child	yuchjo
cross	tsonjnꞌaan
Southern Cross	ncjuu tsonjnꞌaan tꞌman
Red Cross	xjo tsonjnꞌaan
gunpowder	xjonanꞌ
quilꞌö	xjooꞌ quilꞌö
squirrel	tyocüañon
penis	jndyú
wind	jndye
tobacco	jnoon
marijuana	jno bʼi
