black sapote	nuu
insect	asas
Nasua narica	chi̱cu
Epinephelus	acsɨ
Cedrela	a̱cuy
great-tailed grackle	acxi
scarlet macaw	a̱nu
vermilion flycatcher	ɨ̱wix
Manilkara zapota	jíya
Tinamus major	woŋ
Amazona viridigenalis	tsu̱sca̱tsa
Puma concolor	tsabatsca̱ŋ
Coccyzus minor	pixcat
Canis latrans	pa̱jo
Tunga penetrans	ñi̱was
wart	ta̱po
ant	yuuchi
