and	u
tin	annakum
iron	parzillum
scribe	ṭupšarrum
jackal	zību
bird	iṣṣūrum
sow	erēšum
unhappy person	bēl lā ilim
two	šinā
village	kaprum
spoken	awātum
he	šū
fly	zubbum
door	daltum
sweet	matāqum
sweet	matqum
sweet bread	mutqûm
seed	zērum
shekel	šiqlum
sheep	immerum
wild sheep	bibbum
tongue	lišānum
pig	šaḫûm
threshing floor	maškanum
street	sūqum
narrow	siāqum
hear	šemûm
owl	qadûm
slave	warad ēkallim
descend	warādum
three	šalāšat
five	ḫamšat
six	šeššet
single	wēdum
Nineveh	Ninua
fish	nūnum
eight	samānat
nine	tišīt
ten	ešeret
weapon	kakkum
beer	šikarum
completeness	šulmum
have sex with	niākum
vulva	biṣṣūrum
blood	dāmum
Enûma Eliš	Enūma Eliš
skull	muḫḫum
up	eliš
when	inūma
Tigris	Idiglat
grass	arantum
nose	appum
Hoshea	Ausi'i
owl	akkû
storm	addum
demon	Lamaštum
throat	napištum
neck	kišādum
trachea	ḫurḫudum
Assur	Aššūr
totality	kiššatum
sage	apkallum
chair	kussûm
decision	dīnum
light	nūrum
sheep	ṣēnum
king	malkum
one fifth	ḫamuštum
young male sheep	kabsum
camel	gammalu
health	šalāmum
bone	eṣemtum
elephant	pīrum
love	menûm
forest	qištum
strike	maḫāṣum
kohl	guḫlum
grandson	mār mārim
good	damqum
nobleman	mār damqi
fall	maqātum
ill	marāṣum
wide	rapāšum
seize	ṣabātum
place	šakānum
hand	qātum
life	balāṭum
bow	qaštum
completeness	gamārum
field	eqlum
accept	maḫārum
young man	eṭlum
strong	dannum
lost	ḫalqum
merchant	tamkārum
lip	šaptum
school	bīt ṭuppim
cypress	burāšum
farmer	ikkarum
freedom	andurārum
free	darārum
ladder	simmiltum
shallow bowl	pūrum
month	Šabāṭum
invite	qerûm
hair	qimmatum
fixed date	adānum
desert	idīnum
liver	amūtum
night	mūšum
black	ṣalmum
lion	lābum
lion	nēšum
